"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0046879","GO:0046879","hormone secretion",60,0.359059589529793,2.03099231078978,0.000162110026722544,0.0510634703228659,0.048734259395858,397,"tags=73%, list=45%, signal=44%","Abcc8/Gnas/Gnao1/Hmga2/Cpe/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Ppp3ca/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Acvr1c/Gipr/Kdm5b/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul/Galr1/Vdr/Aacs/Pex5l/Chga"
"GO:0030073","GO:0030073","insulin secretion",45,0.375486155885454,2.02360189282802,0.000339491694894533,0.0510634703228659,0.048734259395858,350,"tags=73%, list=39%, signal=47%","Abcc8/Gnas/Gnao1/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Ppp3ca/Snap25/Ptprn2/Rapgef4/Itpr1/Sytl4/Pclo/Rfx6/Isl1/Gck/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Acvr1c/Gipr/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul"
"GO:0009914","GO:0009914","hormone transport",61,0.35366681490171,2.00903308455743,8.8553058107092e-05,0.0510634703228659,0.048734259395858,397,"tags=72%, list=45%, signal=43%","Abcc8/Gnas/Gnao1/Hmga2/Cpe/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Ppp3ca/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Acvr1c/Gipr/Kdm5b/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul/Galr1/Vdr/Aacs/Pex5l/Chga"
"GO:1903532","GO:1903532","positive regulation of secretion by cell",47,0.369948525737483,2.00521751445151,0.000380503531856513,0.0510634703228659,0.048734259395858,386,"tags=70%, list=43%, signal=42%","Abcc8/Gnas/Rph3al/Glud1/Tcf7l2/Anxa2/Pdx1/Prkca/Rab27a/Snap25/Rapgef4/Itpr1/Sytl4/Rfx6/Isl1/Gck/Cadps/Baiap3/A1cf/Slc30a8/Pcsk1/Gipr/S100a10/Syt7/Nkx6-1/Prkar1a/Dpysl2/Slc2a2/Glul/Galr1/Vdr/Aacs/Pex5l"
"GO:0046883","GO:0046883","regulation of hormone secretion",55,0.354247532495301,1.97296776739377,0.000385060406241645,0.0510634703228659,0.048734259395858,397,"tags=73%, list=45%, signal=43%","Abcc8/Gnas/Gnao1/Hmga2/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Ppp3ca/Chd7/Snap25/Rapgef4/Itpr1/Scg5/Sytl4/Rfx6/Isl1/Gck/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Acvr1c/Gipr/Kdm5b/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul/Galr1/Vdr/Aacs/Pex5l/Chga"
"GO:0030072","GO:0030072","peptide hormone secretion",54,0.352968778199738,1.95951476340881,0.000252911442712927,0.0510634703228659,0.048734259395858,397,"tags=74%, list=45%, signal=44%","Abcc8/Gnas/Gnao1/Hmga2/Cpe/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Ppp3ca/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Sytl4/Pclo/Rfx6/Isl1/Gck/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Acvr1c/Gipr/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul/Aacs/Pex5l/Chga"
"GO:0023061","GO:0023061","signal release",80,0.321427151555038,1.89327638417115,0.000223325539389907,0.0510634703228659,0.048734259395858,397,"tags=68%, list=45%, signal=41%","Abcc8/Gnas/Gnao1/Ica1/Hmga2/Cpe/Rap1b/Rph3al/Glud1/Tcf7l2/Pdx1/Pde1c/Prkca/Ppp3ca/Syt13/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Cplx2/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Cadps/Foxo1/Hadh/Rfx3/Baiap3/Slc30a8/Rimbp2/Cacna1a/Acvr1c/Gipr/Kdm5b/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Slc2a2/Glul/Galr1/Vdr/Atp2a2/Mctp2/Aacs/Pex5l/Chga"
"GO:1903530","GO:1903530","regulation of secretion by cell",89,0.308738074880519,1.85020126085016,0.000394174156878263,0.0510634703228659,0.048734259395858,405,"tags=66%, list=45%, signal=40%","Abcc8/Gnas/Gnao1/Ica1/Hmga2/Rap1b/Rph3al/Glud1/Tcf7l2/Anxa2/Pdx1/Pde1c/Prkca/Ppp3ca/Syt13/Rab27a/Chd7/Snap25/Rapgef4/Itpr1/Cplx2/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Cadps/Foxo1/Tcp11/Hadh/Rfx3/Baiap3/A1cf/Slc30a8/Cacna1a/Ahi1/Acvr1c/Pcsk1/Gipr/Kdm5b/S100a10/Myt1/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Dpysl2/Slc2a2/Glul/Galr1/Vdr/Atp2a2/Mctp2/Aacs/Pex5l/Chga/Cd200"
"GO:0140352","GO:0140352","export from cell",104,0.300874269734359,1.843180117113,0.00015304108652043,0.0510634703228659,0.048734259395858,386,"tags=63%, list=43%, signal=41%","Abcc8/Gnas/Gnao1/Ica1/Hmga2/Cpe/Rap1b/Rph3al/Glud1/Tmem163/Tcf7l2/Anxa2/Ncam1/Pdx1/Pde1c/Prkca/Ppp3ca/Syt13/Rab27a/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Cplx2/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Cadps/Foxo1/Tcp11/Hadh/Atp1b1/Rfx3/Baiap3/A1cf/Slc30a8/Rimbp2/Cacna1a/Ahi1/Acvr1c/Pcsk1/Gipr/Kdm5b/S100a10/Myt1/Myo6/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Kit/Dpysl2/Slc2a2/Glul/Galr1/Vdr/Atp2a2/Mctp2/Aacs/Pex5l"
"GO:0032940","GO:0032940","secretion by cell",101,0.299603953154493,1.83235003597,0.000157575555495142,0.0510634703228659,0.048734259395858,386,"tags=63%, list=43%, signal=41%","Abcc8/Gnas/Gnao1/Ica1/Hmga2/Cpe/Rap1b/Rph3al/Glud1/Tcf7l2/Anxa2/Ncam1/Pdx1/Pde1c/Prkca/Ppp3ca/Syt13/Rab27a/Chd7/Snap25/Slc16a10/Ptprn2/Rapgef4/Itpr1/Cplx2/Scg5/Sytl4/Pclo/Rfx6/Isl1/Gck/Cadps/Foxo1/Tcp11/Hadh/Rfx3/Baiap3/A1cf/Slc30a8/Rimbp2/Cacna1a/Ahi1/Acvr1c/Pcsk1/Gipr/Kdm5b/S100a10/Myt1/Myo6/Klf7/Syt7/Nkx6-1/Prkar1a/Hmgn3/Kit/Dpysl2/Slc2a2/Glul/Galr1/Vdr/Atp2a2/Mctp2/Aacs/Pex5l"
