"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0033044","GO:0033044","regulation of chromosome organization",28,0.54048821601005,1.81216964210793,8.96811073833324e-05,0.0257088165997611,0.0216570106008972,235,"tags=54%, list=25%, signal=41%","Birc5/Cdk1/Cdc20/Spc24/Top2a/Smc4/Spc25/Cdca8/Smc2/Lmna/Cenpe/Wapl/Incenp/Pkib/Nek6"
"GO:0000819","GO:0000819","sister chromatid segregation",34,0.527177844790596,1.8111314099403,6.14799583768157e-05,0.0257088165997611,0.0216570106008972,235,"tags=59%, list=25%, signal=46%","Birc5/Cdk1/Cdc20/Spc24/Top2a/Smc4/Spc25/Cdca8/Smc2/Nusap1/Tpx2/Racgap1/Prc1/Cenpe/Wapl/Incenp/Kif23/Kif22/Cenpk/Nek6"
"GO:0098813","GO:0098813","nuclear chromosome segregation",41,0.504070785965033,1.77649650966014,3.84464347842464e-05,0.0257088165997611,0.0216570106008972,280,"tags=61%, list=30%, signal=45%","Birc5/Cdk1/Cdc20/Spc24/Top2a/Smc4/Spc25/Cenpf/Cdca8/Ccnb2/Smc2/Nusap1/Tpx2/Racgap1/Prc1/Cenpe/Aurka/Wapl/Incenp/Kif23/Kif22/Cenpk/Nek6/Ndc1/Kifc1"
"GO:0051276","GO:0051276","chromosome organization",52,0.485544589849297,1.75731520254355,1.99664980950932e-05,0.0257088165997611,0.0216570106008972,280,"tags=58%, list=30%, signal=43%","Birc5/Cdk1/Cdc20/Spc24/Top2a/Smc4/Spc25/Cdca8/Smc2/Mcm6/Nusap1/Lmna/Nasp/Tpx2/Racgap1/Prc1/Cenpe/Wapl/Mcm7/Ezh2/Incenp/Kif23/Hmga2/Kif22/Pkib/Cenpk/Cenph/Nek6/Ndc1/Kifc1"
"GO:1903530","GO:1903530","regulation of secretion by cell",85,0.420232959748666,1.57923499706844,0.000106601865652085,0.0257088165997611,0.0216570106008972,400,"tags=67%, list=43%, signal=42%","Ghrl/Ins2/Nnat/Gnas/Isl1/Hmgn3/Rap1b/Glud1/Birc5/Pdx1/Syt13/Anxa2/Cd200/Idh2/Rph3al/Sytl4/Cplx2/Abcc8/Ppp3ca/Pcsk1/G6pc2/Scg5/Slc30a8/Slc2a2/Syt7/Rab3b/Chd7/Hmga2/Baiap3/Atp2a2/Vdr/Ica1/Maob/Stxbp1/Tcp11/Foxo1/Gnao1/A1cf/Ahi1/Myt1/Rfx6/Galr1/Rab27a/Pclo/Gipr/Kcnc3/Gck/Acvr1c/Cadps/Tcf7l2/Snap25/Pex5l/Mctp2/Stxbp5l/Cacna1a/Pde1c/Ffar4"
"GO:0051046","GO:0051046","regulation of secretion",89,0.412369504316769,1.55485746876581,8.29128147995031e-05,0.0257088165997611,0.0216570106008972,400,"tags=66%, list=43%, signal=42%","Ghrl/Ins2/Nnat/Gnas/Isl1/Hmgn3/Rap1b/Glud1/Birc5/Pdx1/Syt13/Anxa2/Cd200/Idh2/Rph3al/Sytl4/Cplx2/Abcc8/Ppp3ca/Pcsk1/G6pc2/Scg5/Slc30a8/Slc2a2/Wnk3/Syt7/Rab3b/Chd7/Hmga2/Baiap3/Atp2a2/Vdr/Ica1/Maob/Stxbp1/Tcp11/Foxo1/Gnao1/A1cf/Ahi1/Myt1/Rfx6/Galr1/Rab27a/Pclo/Gipr/Kcnc3/Gck/Acvr1c/Cadps/Tcf7l2/Snap25/Pex5l/Mctp2/Ptprn2/Stxbp5l/Cacna1a/Pde1c/Ffar4"
"GO:0032940","GO:0032940","secretion by cell",99,0.395875679737527,1.50413385517273,0.000128101558114849,0.026480422084598,0.0223070081649616,400,"tags=65%, list=43%, signal=41%","Ghrl/Ins2/Nnat/Gnas/Isl1/Hmgn3/Cpe/Rap1b/Glud1/Birc5/Pdx1/Syt13/Anxa2/Cd200/Idh2/Rph3al/Sytl4/Cplx2/Abcc8/Ppp3ca/Pcsk1/G6pc2/Scg5/Slc30a8/Slc2a2/Syt7/Rab3b/Chd7/Hmga2/Ncam1/Baiap3/Slc16a10/Atp2a2/Vdr/Sel1l/Ica1/Maob/Stxbp1/Tcp11/Foxo1/Gnao1/A1cf/Ahi1/Kit/Myt1/Rfx6/Galr1/Rab27a/Pclo/Rimbp2/Gipr/Kcnc3/Gck/Acvr1c/Cadps/Tcf7l2/Snap25/Pex5l/Mctp2/Ptprn2/Stxbp5l/Cacna1a/Pde1c/Ffar4"
"GO:0140352","GO:0140352","export from cell",102,0.392580016464258,1.49326075584243,0.00015530832071387,0.0280913925091212,0.023664083603508,400,"tags=64%, list=43%, signal=41%","Ghrl/Ins2/Nnat/Gnas/Isl1/Hmgn3/Cpe/Rap1b/Glud1/Birc5/Pdx1/Syt13/Anxa2/Cd200/Idh2/Rph3al/Sytl4/Cplx2/Abcc8/Ppp3ca/Pcsk1/G6pc2/Scg5/Slc30a8/Slc2a2/Tmem163/Syt7/Rab3b/Chd7/Hmga2/Ncam1/Baiap3/Slc16a10/Atp2a2/Vdr/Sel1l/Ica1/Maob/Stxbp1/Tcp11/Foxo1/Gnao1/A1cf/Ahi1/Kit/Myt1/Rfx6/Galr1/Rab27a/Pclo/Rimbp2/Gipr/Kcnc3/Gck/Acvr1c/Cadps/Tcf7l2/Snap25/Pex5l/Mctp2/Ptprn2/Stxbp5l/Cacna1a/Pde1c/Ffar4"
"GO:0048285","GO:0048285","organelle fission",49,0.452243161300147,1.62428702066294,0.000205187587184575,0.03298960429512,0.0277903188257004,280,"tags=63%, list=30%, signal=47%","Ins2/Cks2/Birc5/Cdk1/Cdc20/Spc24/Top2a/Cdc14b/Smc4/Spc25/Cdca8/Ccnb2/Smc2/Mki67/Nusap1/Tpx2/Racgap1/Prc1/Mapt/Cenpe/Aurka/Wapl/Incenp/Kif23/Camk2b/Kif22/Cenpk/Nfib/Ndc1/Igf2/Kifc1"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",27,0.54368925538659,1.81826808890992,0.000316707371763528,0.0388024660345914,0.0326870517353921,229,"tags=67%, list=25%, signal=52%","Birc5/Cdk1/Cdc20/Spc24/Smc4/Spc25/Cdca8/Smc2/Nusap1/Tpx2/Racgap1/Prc1/Cenpe/Wapl/Incenp/Kif23/Kif22/Cenpk"
