"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032024","GO:0032024","positive regulation of insulin secretion",24,0.594672551954741,1.96608824482551,3.05889267404814e-05,0.011391263855626,0.0103014050594783,197,"tags=67%, list=20%, signal=54%","Nnat/Ghrl/Slc30a8/Gcg/Isl1/Tcf7l2/Pdx1/Rph3al/Abcc8/Rfx6/Gnas/Baiap3/Glud1/Slc2a2/Gipr/Gck"
"GO:0050714","GO:0050714","positive regulation of protein secretion",31,0.564998870926685,1.93583672073431,1.91287568843166e-05,0.011391263855626,0.0103014050594783,209,"tags=65%, list=22%, signal=52%","Ins2/Nnat/Ghrl/Slc30a8/Gcg/Sytl4/Isl1/Tcf7l2/Pdx1/Rph3al/Abcc8/A1cf/Rfx6/Gnas/Baiap3/Glud1/Slc2a2/Gipr/Gck/Pcsk1"
"GO:0051046","GO:0051046","regulation of secretion",96,0.424276803954743,1.61816854116016,1.94080038862241e-05,0.011391263855626,0.0103014050594783,436,"tags=69%, list=45%, signal=42%","Ins2/Nnat/Ghrl/Hmga2/Gnao1/Anxa2/Slc30a8/Gcg/Sytl4/Isl1/Tcf7l2/Pdx1/Rph3al/Wnk3/Abcc8/Ica1/G6pc2/A1cf/Ppp3ca/Rfx6/Gnas/Baiap3/Scg5/Rab27a/Snap25/Glud1/Myt1/Rap1b/Acvr1c/Pclo/Atp2a2/Slc2a2/Syt13/Vdr/Mctp2/Birc5/Gipr/Gck/Idh2/Pcsk1/Maob/Tcp11/Syt7/Cadps/Stxbp1/Pex5l/Ptprn2/Stxbp5l/Cacna1a/Cplx2/Rbp4/Ahi1/Chga/Chd7/Foxo1/Hmgn3/Pde1c/Rab3b/Cd200/Galr1/Cck/Kcnc3/Rab27b/Ins1/Ptprn/Ffar4"
"GO:1903530","GO:1903530","regulation of secretion by cell",92,0.420032381095587,1.60008245056926,2.61099476130398e-05,0.011391263855626,0.0103014050594783,436,"tags=68%, list=45%, signal=41%","Ins2/Nnat/Ghrl/Hmga2/Gnao1/Anxa2/Slc30a8/Gcg/Sytl4/Isl1/Tcf7l2/Pdx1/Rph3al/Abcc8/Ica1/G6pc2/A1cf/Ppp3ca/Rfx6/Gnas/Baiap3/Scg5/Rab27a/Snap25/Glud1/Myt1/Rap1b/Acvr1c/Pclo/Atp2a2/Slc2a2/Syt13/Vdr/Mctp2/Birc5/Gipr/Gck/Idh2/Pcsk1/Maob/Tcp11/Syt7/Cadps/Stxbp1/Pex5l/Stxbp5l/Cacna1a/Cplx2/Rbp4/Ahi1/Chga/Chd7/Foxo1/Hmgn3/Pde1c/Rab3b/Cd200/Galr1/Cck/Kcnc3/Rab27b/Ins1/Ffar4"
"GO:0032940","GO:0032940","secretion by cell",106,0.407181357877381,1.56521896972071,3.73239313749213e-05,0.011391263855626,0.0103014050594783,436,"tags=67%, list=45%, signal=41%","Ins2/Nnat/Ghrl/Hmga2/Gnao1/Anxa2/Slc30a8/Gcg/Sytl4/Isl1/Slc16a10/Tcf7l2/Pdx1/Ncam1/Rph3al/Abcc8/Ica1/G6pc2/A1cf/Ppp3ca/Rfx6/Rimbp2/Gnas/Baiap3/Scg5/Rab27a/Snap25/Cpe/Glud1/Myt1/Rap1b/Acvr1c/Pclo/Atp2a2/Slc2a2/Syt13/Sel1l/Vdr/Mctp2/Birc5/Gipr/Gck/Idh2/Pcsk1/Maob/Tcp11/Syt7/Cadps/Stxbp1/Pex5l/Ptprn2/Kit/Stxbp5l/Cacna1a/Cplx2/Rbp4/Ahi1/Chga/Chd7/Foxo1/Hmgn3/Pde1c/Rab3b/Cd200/Galr1/Cck/Kcnc3/Rab27b/Ins1/Ptprn/Ffar4"
"GO:0023061","GO:0023061","signal release",82,0.422091662284203,1.59218589564713,6.0351917687215e-05,0.0131567180558129,0.0118979494869081,357,"tags=61%, list=37%, signal=42%","Nnat/Ghrl/Hmga2/Gnao1/Slc30a8/Gcg/Sytl4/Isl1/Slc16a10/Tcf7l2/Pdx1/Rph3al/Abcc8/Ica1/G6pc2/Ppp3ca/Rfx6/Rimbp2/Gnas/Baiap3/Scg5/Snap25/Cpe/Glud1/Myt1/Rap1b/Acvr1c/Pclo/Atp2a2/Slc2a2/Syt13/Vdr/Mctp2/Birc5/Gipr/Gck/Maob/Syt7/Cadps/Stxbp1/Pex5l/Ptprn2/Stxbp5l/Cacna1a/Cplx2/Rbp4/Chga/Chd7/Foxo1/Hmgn3"
"GO:0046903","GO:0046903","secretion",112,0.397762826466681,1.5315437114362,5.58452904027748e-05,0.0131567180558129,0.0118979494869081,436,"tags=65%, list=45%, signal=40%","Ins2/Nnat/Ghrl/Hmga2/Gnao1/Anxa2/Slc30a8/Gcg/Sytl4/Isl1/Slc16a10/Tcf7l2/Pdx1/Ncam1/Rph3al/Wnk3/Abcc8/Ica1/G6pc2/A1cf/Ppp3ca/Rfx6/Rimbp2/Gnas/Baiap3/Scg5/Rab27a/Snap25/Cpe/Glud1/Myt1/Rap1b/Acvr1c/Pclo/Atp2a2/Slc2a2/Syt13/Sel1l/Vdr/Mctp2/Birc5/Gipr/Gck/Idh2/Pcsk1/Maob/Tcp11/Syt7/Cadps/Stxbp1/Stard10/Pex5l/Ptprn2/Kit/Stxbp5l/Cacna1a/Cplx2/Rbp4/Ahi1/Chga/Chd7/Foxo1/Hmgn3/Pde1c/Rab3b/Cd200/Galr1/Cck/Kcnc3/Rab27b/Ins1/Ptprn/Ffar4"
"GO:0140014","GO:0140014","mitotic nuclear division",42,0.474247109606849,1.68421901919925,0.000230127274912064,0.0219483888447381,0.0198484774611655,232,"tags=60%, list=24%, signal=47%","Ins2/Nfib/Prc1/Nusap1/Cdc14b/Fgfr2/Kif23/Cdk1/Smc4/Racgap1/Tpx2/Kifc1/Cenpe/Nfix/Mki67/Incenp/Igf1r/Aurka/Cenpk/Birc5/Wapl/Spc24/Cdca8/Kif22/Cdc20"
"GO:0002791","GO:0002791","regulation of peptide secretion",48,0.457159100466585,1.65416524935151,0.000223325539389907,0.0219483888447381,0.0198484774611655,375,"tags=69%, list=39%, signal=44%","Nnat/Ghrl/Hmga2/Gnao1/Slc30a8/Gcg/Sytl4/Isl1/Tcf7l2/Pdx1/Rph3al/Abcc8/G6pc2/Ppp3ca/Rfx6/Gnas/Baiap3/Glud1/Myt1/Acvr1c/Slc2a2/Birc5/Gipr/Gck/Syt7/Pex5l/Stxbp5l/Rbp4/Chga/Chd7/Foxo1/Hmgn3/Pde1c"
"GO:0090087","GO:0090087","regulation of peptide transport",48,0.457159100466585,1.65416524935151,0.000223325539389907,0.0219483888447381,0.0198484774611655,375,"tags=69%, list=39%, signal=44%","Nnat/Ghrl/Hmga2/Gnao1/Slc30a8/Gcg/Sytl4/Isl1/Tcf7l2/Pdx1/Rph3al/Abcc8/G6pc2/Ppp3ca/Rfx6/Gnas/Baiap3/Glud1/Myt1/Acvr1c/Slc2a2/Birc5/Gipr/Gck/Syt7/Pex5l/Stxbp5l/Rbp4/Chga/Chd7/Foxo1/Hmgn3/Pde1c"
