,gene_name,total_highly_variable,total_velocity_genes,total_lik,317s1_highly_variable,317s1_velocity_genes,317s1_lik,317s2_highly_variable,317s2_velocity_genes,317s2_lik,320s1_highly_variable,320s1_velocity_genes,320s1_lik,320s2_highly_variable,320s2_velocity_genes,320s2_lik,323s1_highly_variable,323s1_velocity_genes,323s1_lik,323s2_highly_variable,323s2_velocity_genes,323s2_lik,326s1_highly_variable,326s1_velocity_genes,326s1_lik,326s2_highly_variable,326s2_velocity_genes,326s2_lik,329s1_highly_variable,329s1_velocity_genes,329s1_lik,329s2_highly_variable,329s2_velocity_genes,329s2_lik,overdisp_S,overdisp_U,nonzero_S,nonzero_U
0,0610007P14Rik,,,,,,,True,False,,True,False,,,,,,,,,,,True,False,,,,,,,,,,,1.93484540471318,4.67139952377687,0.47754329004329,0.03598484848484848
1,0610010F05Rik,True,False,,,,,True,False,,True,False,,True,False,,True,False,,,,,,,,True,False,,True,False,,True,False,,3.71065563542032,1.52481302937315,0.13068181818181818,0.14123376623376624
2,0610011F06Rik,True,True,0.3597921060226792,True,True,0.26561829751293986,True,False,,True,True,0.31058706727748503,True,False,,True,False,,True,True,0.27393791072970525,True,True,0.27618344143094675,True,False,,True,True,0.26796476778115363,True,True,0.3115366570716769,3.85119029139053,2.76272064499163,0.5762987012987013,0.43127705627705626
3,0610030E20Rik,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56372931131684,1.26801004251522,0.17261904761904762,0.024350649350649352
4,0610040J01Rik,,,,,,,,,,,,,True,False,,True,False,,True,False,,,,,,,,,,,True,False,,4.90117593480987,1.70081125044282,0.5054112554112553,0.37662337662337664
5,1110002L01Rik,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513534292093073,0.570065500501928,0.04193722943722944,0.07061688311688313
6,1110034G24Rik,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63405900731159,0.475375801012027,0.13014069264069264,0.03841991341991342
7,1110037F02Rik,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,4.25836009083094,1.00775114751732,0.18019480519480519,0.11309523809523811
8,1500009L16Rik,True,True,0.25252105854029167,True,True,0.21555519922358382,True,True,0.18491800321314872,True,True,0.20712854102463776,True,True,0.21845435141787833,True,True,0.18744685940537453,True,False,0.18326947544863764,True,True,0.159645434050487,True,True,0.22147709370605823,True,True,0.13793097050134556,True,True,0.20801483799507137,0.507570593090844,0.20549711903446,0.2878787878787879,0.024891774891774892
9,1600020E01Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,113.655540868856,0.849939259619886,0.1279761904761905,0.08414502164502165
10,1700011H14Rik,True,True,0.40144188930132657,True,True,0.22782114380524518,True,True,0.24886302295569657,True,True,0.26171437297988537,True,True,0.20211113739833417,True,True,0.2513674245469086,True,True,0.2464755846259062,True,True,0.21881029615235387,True,True,0.24925570879627865,True,True,0.2163349180388983,True,True,0.2816107478040112,0.235479236105019,0.293848632289273,0.3400974025974026,0.03841991341991342
11,1700020I14Rik,,,,True,False,,True,False,,,,,True,False,,True,False,,,,,,,,,,,,,,,,,2.82044589051292,inf,0.29383116883116883,0.09442640692640693
12,1700023F06Rik,True,True,0.20299801841748946,True,True,0.186949514269981,,,,True,True,0.17303933438804062,True,True,0.17011685174713806,True,True,0.12093869028874514,True,True,0.16324731868472814,,,,True,True,0.17699325720712183,True,True,0.17313861664630653,True,True,0.1344965322895384,1.48645931618978,0.985548595883257,0.1536796536796537,0.03354978354978355
13,1700026L06Rik,True,True,0.15973237334057708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747261478212526,0.275853185598394,0.07927489177489178,0.010822510822510824
14,1700030K09Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,7.40383786964698,2.58636834385712,0.07278138528138528,0.10119047619047619
15,1700086L19Rik,True,True,0.34884016476083135,True,True,0.26740291485639445,True,True,0.2588231254516378,True,True,0.2633325367706184,True,True,0.27199630081960463,True,True,0.2749272336702223,True,True,0.2741024418987915,True,True,0.2700535602448173,True,True,0.2860610978861508,True,True,0.2796686418534193,True,True,0.23434091654938927,0.281441704447859,0.176241732599741,0.4494047619047619,0.10037878787878787
16,1810013L24Rik,,,,,,,True,False,,,,,True,False,,,,,True,False,,,,,,,,True,False,,,,,19.6434650821833,2.87497626826654,0.16206709956709958,0.12337662337662338
