,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,overdisp_S,overdisp_U,nonzero_S,nonzero_U
0,0610007P14Rik,,,,,,,True,False,0.0852002426981926,True,False,0.061694931238889694,,,,,,,,,,True,False,0.07516703754663467,,,,,,,,,,1.93484540471318,4.67139952377687,0.47754329004329,0.03598484848484848
1,0610010F05Rik,True,False,0.2917865514755249,,,,True,False,0.08865507692098618,True,False,0.0666307732462883,True,False,0.057579949498176575,True,False,0.07921887934207916,,,,,,,True,False,0.1090332493185997,True,False,0.040069639682769775,True,False,0.06021320819854736,3.71065563542032,1.52481302937315,0.13068181818181818,0.14123376623376624
2,0610011F06Rik,True,True,0.16079309582710266,True,True,0.05327014997601509,True,False,0.5021358728408813,True,True,0.047103144228458405,True,False,0.579307496547699,True,False,0.3888244032859802,True,True,0.036748383194208145,True,False,0.4410281479358673,True,False,0.5060306191444397,True,False,0.560360312461853,True,True,0.044885553419589996,3.85119029139053,2.76272064499163,0.5762987012987013,0.43127705627705626
3,0610030E20Rik,True,False,0.03839343413710594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56372931131684,1.26801004251522,0.17261904761904762,0.024350649350649352
4,0610040J01Rik,,,,,,,,,,,,,True,False,0.19594600796699524,True,False,0.3770093321800232,True,False,0.37312719225883484,,,,,,,,,,True,False,0.38920044898986816,4.90117593480987,1.70081125044282,0.5054112554112553,0.37662337662337664
5,1110002L01Rik,True,False,0.03361287713050842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513534292093073,0.570065500501928,0.04193722943722944,0.07061688311688313
6,1110034G24Rik,True,False,0.05721164867281914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63405900731159,0.475375801012027,0.13014069264069264,0.03841991341991342
7,1110037F02Rik,,,,,,,True,False,0.03027140162885189,,,,,,,,,,,,,,,,,,,,,,,,,4.25836009083094,1.00775114751732,0.18019480519480519,0.11309523809523811
8,1500009L16Rik,True,True,0.23680008947849274,True,False,0.2875896990299225,True,False,0.34864723682403564,True,True,0.06827492266893387,True,True,0.05927559733390808,True,True,0.05752693489193916,True,False,0.38843441009521484,True,False,0.5338865518569946,True,True,0.061956364661455154,True,False,0.28843483328819275,True,False,0.2092648148536682,0.507570593090844,0.20549711903446,0.2878787878787879,0.024891774891774892
9,1600020E01Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.05302996188402176,113.655540868856,0.849939259619886,0.1279761904761905,0.08414502164502165
10,1700011H14Rik,True,True,1.1205185651779175,True,True,0.2321634292602539,True,True,0.24257953464984894,True,True,0.26338183879852295,True,True,0.1997656375169754,True,True,0.20478364825248718,True,True,0.24878768622875214,True,True,0.20657818019390106,True,True,0.2768210172653198,True,True,0.2270783632993698,True,True,0.2017490267753601,0.235479236105019,0.293848632289273,0.3400974025974026,0.03841991341991342
11,1700020I14Rik,,,,True,False,0.07848085463047028,True,False,0.05347292497754097,,,,True,False,0.03525547310709953,True,False,0.05893978849053383,,,,,,,,,,,,,,,,2.82044589051292,inf,0.29383116883116883,0.09442640692640693
12,1700023F06Rik,True,True,0.01697232760488987,True,False,0.03357880190014839,,,,True,False,0.04360390827059746,True,False,0.055921655148267746,True,False,0.043110184371471405,True,False,0.045623816549777985,,,,True,False,0.051098234951496124,True,False,0.03483648970723152,True,False,0.038818661123514175,1.48645931618978,0.985548595883257,0.1536796536796537,0.03354978354978355
13,1700026L06Rik,True,False,0.032500218600034714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747261478212526,0.275853185598394,0.07927489177489178,0.010822510822510824
14,1700030K09Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.04382188990712166,7.40383786964698,2.58636834385712,0.07278138528138528,0.10119047619047619
15,1700086L19Rik,True,True,3.004089832305908,True,True,1.10191810131073,True,True,0.9513413906097412,True,True,1.0694516897201538,True,True,0.8975868821144104,True,True,0.86356121301651,True,True,0.7700636386871338,True,True,0.8744732141494751,True,True,0.8411449193954468,True,True,0.7107648849487305,True,True,1.0649720430374146,0.281441704447859,0.176241732599741,0.4494047619047619,0.10037878787878787
16,1810013L24Rik,,,,,,,True,False,0.028792012482881546,,,,True,False,0.028790097683668137,,,,True,False,0.046056315302848816,,,,,,,True,False,0.0955461785197258,,,,19.6434650821833,2.87497626826654,0.16206709956709958,0.12337662337662338
17,1810022K09Rik,,,,,,,,,,,,,,,,True,False,0.08931458741426468,,,,,,,,,,,,,,,,1.41106958170379,21.9457593983599,0.18614718614718614,0.21915584415584416
18,1810041L15Rik,True,True,0.048479676246643066,True,True,0.007731612306088209,True,True,0.02101813070476055,True,True,0.006902009714394808,True,True,0.02083444409072399,True,True,0.013615131378173828,True,True,0.02565917931497097,True,True,0.006484404671937227,True,True,0.021986883133649826,True,True,0.016797984018921852,True,True,0.019119028002023697,0.448061236715763,0.188294095744909,0.1471861471861472,0.031114718614718616
19,2010107G23Rik,True,False,0.5978618264198303,True,False,0.2943393886089325,True,False,0.3294339179992676,True,False,0.34830912947654724,True,False,0.28181833028793335,True,False,0.2398434430360794,True,False,0.48024746775627136,True,False,0.32939761877059937,True,False,0.21252703666687012,True,False,0.28633227944374084,True,False,0.22327597439289093,1.55654137779288,0.864231944262215,0.49431818181818177,0.022186147186147188
20,2210013O21Rik,True,False,1.7399452924728394,True,False,0.44952553510665894,True,False,0.6069096922874451,True,False,0.5504094362258911,True,False,0.4757024645805359,True,False,0.4022391438484192,True,False,0.5747356414794922,True,False,0.6245976090431213,True,False,0.48972606658935547,True,False,0.5594117045402527,True,False,0.4810534715652466,2.30947371578693,1.58871805634844,0.6731601731601731,0.0946969696969697
21,2210019I11Rik,True,False,0.38603052496910095,True,False,0.08506179600954056,True,False,0.10840041190385818,,,,True,False,0.0863865464925766,True,False,0.07999648153781891,True,False,0.1067298874258995,True,False,0.19701717793941498,True,False,0.09057721495628357,True,False,0.20266059041023254,True,False,0.2069350630044937,0.0951694613940216,0.346859472401331,0.03760822510822511,0.12716450216450215
22,2310009B15Rik,,,,,,,,,,,,,True,False,0.037815552204847336,,,,,,,,,,,,,,,,,,,2.1598550788003,20639.9416078356,0.3241341991341991,0.04897186147186147
23,2310022B05Rik,True,False,0.47011134028434753,,,,,,,True,False,0.17462566494941711,,,,,,,,,,,,,True,False,0.18630430102348328,,,,,,,2.80801868217822,inf,0.4599567099567099,0.008658008658008658
24,2310030G06Rik,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.03455299139022827,,,,,,,25.0105308408546,0.684468027247729,0.306547619047619,0.04897186147186147
25,2310033P09Rik,,,,True,False,0.07148945331573486,True,False,0.10377390682697296,True,False,0.059883587062358856,True,False,0.09778991341590881,True,False,0.06427766382694244,,,,True,False,0.08866973221302032,True,False,0.0694526806473732,True,False,0.044488560408353806,True,False,0.06529685109853745,2.55922425426141,7.86659801270247,0.31926406926406925,0.09740259740259741
26,2310035C23Rik,,,,True,False,0.05834444612264633,True,False,0.06667172163724899,True,False,0.052830081433057785,,,,,,,,,,True,False,0.049829013645648956,True,False,0.06290435045957565,,,,True,False,0.12127479165792465,2.19311839006979,1.98481273229919,0.0911796536796537,0.1810064935064935
27,2310061I04Rik,,,,True,False,0.027561716735363007,True,False,0.039387449622154236,,,,True,False,0.024264220148324966,True,False,0.03253043070435524,True,False,0.036167748272418976,True,False,0.04631875082850456,True,False,0.03393157199025154,True,False,0.02953309752047062,True,False,0.04666222259402275,3.79278577561389,0.392490677729505,0.2508116883116883,0.021103896103896104
28,2410089E03Rik,,,,,,,,,,,,,,,,True,False,0.11038815975189209,,,,,,,True,False,0.05887310951948166,,,,,,,inf,1.30816748538455,0.0817099567099567,0.17694805194805194
29,2510009E07Rik,True,True,0.0025580693036317825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18508770565448,0.656570551128511,0.05735930735930736,0.06222943722943723
30,2510039O18Rik,,,,,,,,,,True,False,0.061440322548151016,True,False,0.05727729946374893,,,,True,False,0.058287061750888824,,,,True,False,0.05722348764538765,True,False,0.04295571893453598,,,,13.24129342067,0.898554691179822,0.3079004329004329,0.027326839826839824
31,2610002M06Rik,,,,,,,,,,,,,True,False,0.03463311865925789,,,,True,False,0.04446517303586006,,,,,,,,,,,,,2.67731277049601,0.220735035895118,0.22402597402597402,0.021645021645021648
32,2610008E11Rik,,,,True,False,0.06794440746307373,True,False,0.039737943559885025,,,,,,,,,,,,,,,,,,,True,False,0.03949173539876938,,,,2.86290973629374,1.14335532663137,0.09983766233766235,0.0946969696969697
33,2610035D17Rik,True,False,60.00788879394531,True,False,13.929933547973633,True,False,14.391447067260742,True,True,0.013413413427770138,True,False,25.84454917907715,True,False,25.926631927490234,True,True,0.013093603774905205,True,False,18.97895622253418,True,False,17.180328369140625,True,True,0.014505182392895222,True,False,15.73149585723877,1.15064840826614,0.512676321204512,0.23457792207792208,0.5051406926406926
34,2610037D02Rik,True,False,0.12646633386611938,True,False,0.047936707735061646,True,False,0.09599434584379196,True,False,0.037549298256635666,True,False,0.030965527519583702,,,,True,False,0.051019445061683655,True,False,0.03618190437555313,True,False,0.04085637256503105,,,,True,False,0.027213100343942642,2.76043089565212,0.95822918138116,0.13961038961038963,0.10930735930735931
35,2610301B20Rik,,,,,,,,,,True,False,0.03304485231637955,,,,,,,True,False,0.025104492902755737,,,,,,,,,,True,False,0.04833275452256203,9.02448186030171,2.26400500440364,0.1471861471861472,0.06466450216450216
36,2610507B11Rik,,,,,,,,,,,,,,,,,,,,,,True,False,0.028829017654061317,,,,,,,,,,3.1733619051206,1.19996495886979,0.13636363636363635,0.03760822510822511
37,2700049A03Rik,,,,,,,,,,,,,True,False,0.0447927862405777,,,,,,,,,,,,,,,,True,False,0.10576623678207397,1.66766794576211,1.09833210262378,0.18912337662337664,0.1314935064935065
38,2700094K13Rik,,,,True,True,0.01202949695289135,,,,True,False,0.038817428052425385,,,,True,False,0.03232384845614433,,,,,,,,,,True,True,0.011226847767829895,,,,0.576710788399976,0.375724291124944,0.1810064935064935,0.029491341991341995
39,2810403A07Rik,,,,,,,True,False,0.06762860715389252,True,False,0.05088557302951813,,,,,,,True,False,0.0781618058681488,,,,True,False,0.15917733311653137,,,,True,False,0.10612376034259796,5.04590758213262,4.52726301443817,0.1571969696969697,0.2058982683982684
40,2810417H13Rik,True,False,9.614009857177734,True,True,1.3202461004257202,True,False,2.4394941329956055,True,True,0.9442083239555359,True,False,3.3477392196655273,True,True,1.0614551305770874,True,False,3.193368911743164,True,False,3.4001636505126953,True,True,1.015526294708252,True,True,1.3463300466537476,True,True,1.0378658771514893,0.0703783032093621,0.0720863800958829,0.19426406926406925,0.010281385281385282
41,2810474O19Rik,,,,,,,,,,,,,,,,True,False,0.01896929368376732,,,,,,,,,,,,,,,,1.58976369933405,inf,0.21428571428571427,0.01731601731601732
