,gene_name,total_highly_variable,total_velocity_genes,total_velocity_r2,317s1_highly_variable,317s1_velocity_genes,317s1_velocity_r2,317s2_highly_variable,317s2_velocity_genes,317s2_velocity_r2,320s1_highly_variable,320s1_velocity_genes,320s1_velocity_r2,320s2_highly_variable,320s2_velocity_genes,320s2_velocity_r2,323s1_highly_variable,323s1_velocity_genes,323s1_velocity_r2,323s2_highly_variable,323s2_velocity_genes,323s2_velocity_r2,326s1_highly_variable,326s1_velocity_genes,326s1_velocity_r2,326s2_highly_variable,326s2_velocity_genes,326s2_velocity_r2,329s1_highly_variable,329s1_velocity_genes,329s1_velocity_r2,329s2_highly_variable,329s2_velocity_genes,329s2_velocity_r2,overdisp_S,overdisp_U,nonzero_S,nonzero_U
0,0610011F06Rik,True,True,0.31705379486083984,True,True,0.05471682548522949,,,,True,True,0.09371423721313477,,,,,,,,,,,,,,,,,,,True,True,0.1440432071685791,3.85119029139053,2.76272064499163,0.5762987012987013,0.43127705627705626
1,1500009L16Rik,True,True,0.2592284083366394,,,,,,,True,True,0.11948364973068237,True,True,0.02033299207687378,True,True,0.05001115798950195,,,,,,,True,True,0.05352216958999634,,,,,,,0.507570593090844,0.20549711903446,0.2878787878787879,0.024891774891774892
2,1700011H14Rik,True,True,0.4056349992752075,True,True,0.13922083377838135,True,True,0.429764986038208,True,True,0.24522584676742554,True,True,0.34306609630584717,True,True,0.41848325729370117,True,True,0.278523325920105,True,True,0.2477397322654724,True,True,0.24119818210601807,True,True,0.17257970571517944,True,True,0.40757691860198975,0.235479236105019,0.293848632289273,0.3400974025974026,0.03841991341991342
3,1700023F06Rik,True,True,0.04871851205825806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48645931618978,0.985548595883257,0.1536796536796537,0.03354978354978355
4,1700086L19Rik,True,True,0.7481316030025482,True,True,0.5538157224655151,True,True,0.5631476938724518,True,True,0.6007930934429169,True,True,0.5175926685333252,True,True,0.5779359638690948,True,True,0.5995152294635773,True,True,0.627133846282959,True,True,0.5365403294563293,True,True,0.6197212636470795,True,True,0.5076390504837036,0.281441704447859,0.176241732599741,0.4494047619047619,0.10037878787878787
5,1810041L15Rik,True,True,0.5915736258029938,True,True,0.16271072626113892,True,True,0.4059128761291504,True,True,0.3176646828651428,True,True,0.38587290048599243,True,True,0.1635819673538208,True,True,0.3286784887313843,True,True,0.31034618616104126,True,True,0.37687498331069946,True,True,0.12433671951293945,True,True,0.4026724696159363,0.448061236715763,0.188294095744909,0.1471861471861472,0.031114718614718616
6,2510009E07Rik,True,True,0.18439334630966187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18508770565448,0.656570551128511,0.05735930735930736,0.06222943722943723
7,2610035D17Rik,,,,,,,,,,True,True,0.031344592571258545,,,,,,,True,True,0.0848882794380188,,,,,,,True,True,0.12284809350967407,,,,1.15064840826614,0.512676321204512,0.23457792207792208,0.5051406926406926
8,2700094K13Rik,,,,True,True,0.01871103048324585,,,,,,,,,,,,,,,,,,,,,,True,True,0.1320936679840088,,,,0.576710788399976,0.375724291124944,0.1810064935064935,0.029491341991341995
9,2810417H13Rik,True,True,0.5662493705749512,True,True,0.2583664655685425,True,True,0.2047014832496643,True,True,0.15636563301086426,True,True,0.24134117364883423,True,True,0.3286665081977844,True,True,0.10323667526245117,True,True,0.1803399920463562,True,True,0.24207216501235962,True,True,0.3668980598449707,True,True,0.10610252618789673,0.0703783032093621,0.0720863800958829,0.19426406926406925,0.010281385281385282
10,5330417C22Rik,True,True,0.37935853004455566,,,,True,True,0.10374528169631958,,,,True,True,0.23183459043502808,True,True,0.13164836168289185,True,True,0.15978360176086426,,,,,,,True,True,0.07126080989837646,True,True,0.28289419412612915,1.30036878226901,0.659211933015069,0.14745670995670995,0.24864718614718614
11,6430573F11Rik,True,True,0.3446716070175171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669178529420488,0.13984495382547,0.05113636363636364,0.03273809523809524
12,A1cf,True,True,0.798820972442627,True,True,0.5887442827224731,True,True,0.6157481968402863,True,True,0.6008641123771667,True,True,0.5587737560272217,True,True,0.5688946545124054,True,True,0.570649653673172,True,True,0.613827645778656,True,True,0.48347437381744385,True,True,0.5953106880187988,True,True,0.5224767029285431,0.2850718397833,0.270222789017677,0.10957792207792208,0.11174242424242425
13,Aacs,True,True,0.34558355808258057,True,True,0.046511948108673096,,,,True,True,0.03364378213882446,True,True,0.08296966552734375,,,,True,True,0.11277437210083008,True,True,0.08122485876083374,True,True,0.08928000926971436,True,True,0.14332491159439087,,,,1.3200875382661,0.675428529455471,0.21834415584415584,0.10091991341991342
14,Abat,True,True,0.1859259009361267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628446634314268,0.267882620208944,0.06006493506493507,0.05817099567099567
15,Abca1,True,True,0.16210973262786865,,,,True,True,0.017911195755004883,,,,,,,,,,,,,,,,,,,,,,,,,1.13008999769165,0.655858307192024,0.13663419913419914,0.07575757575757576
16,Abca7,True,True,0.10600250959396362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452154784528697,0.609917376333523,0.05005411255411256,0.09604978354978355
17,Abcb9,True,True,0.3814809322357178,True,True,0.15126961469650269,True,True,0.1977798342704773,True,True,0.20934873819351196,True,True,0.07023924589157104,True,True,0.1630907654762268,True,True,0.10117113590240479,True,True,0.20301133394241333,True,True,0.10017842054367065,True,True,0.17982327938079834,True,True,0.12337982654571533,1.02458701466963,0.754632438344451,0.13690476190476192,0.10876623376623376
18,Abcc8,True,True,0.6149222552776337,True,True,0.6298331916332245,True,True,0.6236836612224579,True,True,0.6257834434509277,True,True,0.6287735104560852,True,True,0.6188023090362549,True,True,0.6270325481891632,True,True,0.5286754965782166,True,True,0.6895710229873657,True,True,0.6242418587207794,True,True,0.5737828612327576,0.421291271411458,0.490728770113504,0.4055735930735931,0.4894480519480519
19,Abcg1,True,True,0.3505614399909973,,,,,,,,,,,,,,,,True,True,0.10658490657806396,True,True,0.12373298406600952,,,,True,True,0.028602242469787598,True,True,0.15718668699264526,0.971726848495659,1.33668399080204,0.09632034632034633,0.08928571428571429
20,Acadsb,True,True,0.14777952432632446,,,,,,,,,,,,,True,True,0.04714089632034302,,,,,,,,,,,,,True,True,0.04794424772262573,1.71896711299752,0.552855948447023,0.16883116883116883,0.10714285714285715
21,Acat1,True,True,0.15432417392730713,,,,,,,,,,,,,,,,True,True,0.038833558559417725,,,,,,,,,,,,,2.43548116156863,1.05257300136335,0.5100108225108224,0.07711038961038962
22,Acly,True,True,0.2542850375175476,True,True,0.14433646202087402,True,True,0.09085315465927124,True,True,0.20378553867340088,True,True,0.11633878946304321,True,True,0.23675966262817383,True,True,0.0727047324180603,True,True,0.024879515171051025,True,True,0.18920105695724487,True,True,0.0903274416923523,True,True,0.24043333530426025,2.25851181089748,1.56464688031536,0.6872294372294372,0.11823593073593075
23,Acot7,True,True,0.14866101741790771,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.032701194286346436,,,,0.343322368735138,0.225339615844323,0.12716450216450217,0.017045454545454544
24,Acsl1,True,True,0.9142439737915993,True,True,0.6741026937961578,True,True,0.7437036037445068,True,True,0.6762795150279999,True,True,0.6577974557876587,True,True,0.6653549075126648,True,True,0.5456638038158417,True,True,0.6994250118732452,True,True,0.7489643394947052,True,True,0.8067866861820221,True,True,0.7145957350730896,0.0435003946630891,0.0444037089339553,0.04274891774891776,0.053571428571428575
25,Acsl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.08355492353439331,,,,0.708802667243576,0.475203597801516,0.24025974025974026,0.04410173160173161
26,Actb,True,True,0.14309078454971313,,,,True,True,0.03520464897155762,True,True,0.016304314136505127,True,True,0.18263554573059082,True,True,0.07865071296691895,True,True,0.11705750226974487,True,True,0.027704715728759766,,,,True,True,0.05315631628036499,,,,3.22704583008594,0.996033888740662,0.9997294372294372,0.8051948051948051
27,Actn4,True,True,0.6305359899997711,True,True,0.46915239095687866,True,True,0.5016749799251556,True,True,0.5507895052433014,True,True,0.39321625232696533,True,True,0.4489973187446594,True,True,0.5848621726036072,True,True,0.5232097506523132,True,True,0.5610651075839996,True,True,0.4236385226249695,True,True,0.44696104526519775,1.15531331988119,0.390885072535084,0.5083874458874459,0.2408008658008658
28,Acvr1c,True,True,0.7837904244661331,True,True,0.5944973528385162,True,True,0.4923900365829468,True,True,0.48718392848968506,True,True,0.4764460325241089,True,True,0.4872201681137085,True,True,0.4579189419746399,True,True,0.42109960317611694,True,True,0.5219190418720245,True,True,0.5792115330696106,True,True,0.6055968105792999,0.13960893556227,0.130589848933837,0.0670995670995671,0.06953463203463203
29,Acyp2,True,True,0.1941072940826416,,,,True,True,0.14437443017959595,True,True,0.09558236598968506,,,,,,,,,,,,,,,,,,,,,,0.786190347484981,0.273047432202506,0.10416666666666666,0.07196969696969696
30,Adam10,,,,,,,,,,,,,,,,True,True,0.06524491310119629,,,,,,,True,True,0.08842235803604126,,,,True,True,0.025585412979125977,2.44586084233089,1.32271456215242,0.28977272727272724,0.2765151515151515
31,Adam23,True,True,0.15560829639434814,,,,,,,True,True,0.045757949352264404,,,,,,,,,,,,,,,,,,,,,,0.253145538190364,0.276327331604458,0.03382034632034632,0.09036796536796537
32,Adamts1,True,True,0.3039933443069458,True,True,0.39835625886917114,True,True,0.4200397729873657,True,True,0.17689532041549683,True,True,0.2673497200012207,True,True,0.24244648218154907,True,True,0.3391982913017273,True,True,0.2926863431930542,True,True,0.09298956394195557,True,True,0.41142284870147705,True,True,0.2953230142593384,0.250820995987347,0.122241028414772,0.3133116883116883,0.05735930735930736
33,Adamts16,True,True,0.8705883771181107,True,True,0.735789567232132,True,True,0.7021125257015228,True,True,0.7680624425411224,True,True,0.6428815722465515,,,,True,True,0.7143244743347168,True,True,0.724256694316864,True,True,0.7707410752773285,True,True,0.7444332540035248,True,True,0.6656787693500519,0.362155251362094,0.20613496769758,0.12797619047619047,0.18641774891774893
34,Adamts18,True,True,0.47926467657089233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0997287153865954,0.0243335955048564,0.007034632034632034,0.020021645021645024
