MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	8		erythrocyte development			ISO	Q9NRK6 	J:164563 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	8		erythrocyte development			ISS	Q9NRK6 	J:342587 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	8		positive regulation of erythrocyte differentiation			IMP		J:204639 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		erythrocyte differentiation			ISS	Q9UKV3 	J:342587 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		positive regulation of erythrocyte differentiation			IEA	ENSP00000257963 P36896 	J:342605 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		positive regulation of erythrocyte differentiation			ISO	P36896 	J:164563 	
MGI:102806	Acvr2a	activin receptor IIA	2		positive regulation of erythrocyte differentiation			IEA	ENSP00000241416 P27037 	J:342605 	
MGI:102806	Acvr2a	activin receptor IIA	2		positive regulation of erythrocyte differentiation			ISO	P27037 	J:164563 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		erythrocyte differentiation			IMP	MGI:5436438 	J:65981 	
MGI:87918	Add1	adducin 1	5		erythrocyte differentiation			IMP	MGI:3799499 	J:138919 	
MGI:1925499	Adgrf4	adhesion G protein-coupled receptor F4	17		erythrocyte development			IGI	MGI:2182928 	J:245698 	
MGI:2182928	Adgrf5	adhesion G protein-coupled receptor F5	17		erythrocyte development			IGI	MGI:1925499 	J:245698 	
MGI:2158492	Ahsp	alpha hemoglobin stabilizing protein	7		erythrocyte differentiation			IBA	MGI:2158492 PTN000408386 	J:161428 	
MGI:2158492	Ahsp	alpha hemoglobin stabilizing protein	7		erythrocyte differentiation			IMP	MGI:2449154 	J:77038 	
MGI:87989	Alas1	aminolevulinic acid synthase 1	9		erythrocyte development			IBA	PTN000343740 	J:161428 	
MGI:87990	Alas2	aminolevulinic acid synthase 2, erythroid	X		erythrocyte development			IBA	PTN000343740 	J:161428 	
MGI:87990	Alas2	aminolevulinic acid synthase 2, erythroid	X		erythrocyte differentiation			IMP		J:116367 	
MGI:88024	Ank1	ankyrin 1, erythroid	8		erythrocyte development	results in the development of erythrocyte		IMP	MGI:1856298 	J:10432 	
MGI:88024	Ank1	ankyrin 1, erythroid	8		erythrocyte development			IMP	MGI:5502651 	J:199427 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	erythrocyte maturation			IMP		J:235782 	
MGI:2444209	Ankrd54	ankyrin repeat domain 54	15		positive regulation of erythrocyte differentiation			IDA		J:148303 	
MGI:2444354	Arid4a	AT-rich interaction domain 4A	12		erythrocyte development			IMP	MGI:3687004 	J:141004 	
MGI:1196457	Atp5if1	ATP synthase inhibitory factor subunit 1	4		erythrocyte differentiation			IBA	MGI:1196457 PTN001157997 	J:161428 	
MGI:1196457	Atp5if1	ATP synthase inhibitory factor subunit 1	4		erythrocyte differentiation			IMP		J:189963 	
MGI:1196457	Atp5if1	ATP synthase inhibitory factor subunit 1	4		erythrocyte differentiation			ISO	Q9UII2 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		regulation of erythrocyte differentiation			IMP	MGI:1927183 	J:47457 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		erythrocyte differentiation			IMP	MGI:5439652 	J:187380 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		erythrocyte maturation			IMP	MGI:5439652 	J:187380 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		nucleate erythrocyte differentiation			IMP	MGI:5439652 	J:187380 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		erythrocyte development	happens in spleen,results in the development of reticulocyte		IMP	MGI:2158436 	J:105042 	
MGI:3650929	Bloodlinc	Bloodlinc, erythroid developmental long intergenic non-protein coding transcript	11		erythrocyte differentiation			IDA		J:326412 	
MGI:3650929	Bloodlinc	Bloodlinc, erythroid developmental long intergenic non-protein coding transcript	11		erythrocyte differentiation			IMP		J:326412 	
MGI:3650929	Bloodlinc	Bloodlinc, erythroid developmental long intergenic non-protein coding transcript	11		erythrocyte enucleation			IDA		J:326412 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		erythrocyte differentiation			IDA		J:98445 	
MGI:1098242	Bpgm	2,3-bisphosphoglycerate mutase	6		erythrocyte development	happens in bone marrow,happens in spleen		IMP	MGI:6506869 	J:301620 	
MGI:1098242	Bpgm	2,3-bisphosphoglycerate mutase	6		erythrocyte development			ISO	RGD:735018 	J:155856 	
MGI:1924161	Brd1	bromodomain containing 1	15		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:1924161	Brd1	bromodomain containing 1	15		positive regulation of erythrocyte differentiation			IMP		J:177092 	
MGI:107739	Casp3	caspase 3	8		erythrocyte differentiation			IBA	P42574 PTN002573018 	J:161428 	
MGI:107739	Casp3	caspase 3	8		erythrocyte differentiation			IEA	ENSP00000311032 P42574 	J:342605 	
MGI:107739	Casp3	caspase 3	8		erythrocyte differentiation			ISO	P42574 	J:164563 	
