MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	8		erythrocyte development			ISO	Q9NRK6 	J:164563 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	8		erythrocyte development			ISS	Q9NRK6 	J:342587 	
MGI:1925499	Adgrf4	adhesion G protein-coupled receptor F4	17		erythrocyte development			IGI	MGI:2182928 	J:245698 	
MGI:2182928	Adgrf5	adhesion G protein-coupled receptor F5	17		erythrocyte development			IGI	MGI:1925499 	J:245698 	
MGI:87989	Alas1	aminolevulinic acid synthase 1	9		erythrocyte development			IBA	PTN000343740 	J:161428 	
MGI:87990	Alas2	aminolevulinic acid synthase 2, erythroid	X		erythrocyte development			IBA	PTN000343740 	J:161428 	
MGI:88024	Ank1	ankyrin 1, erythroid	8		erythrocyte development	results in the development of erythrocyte		IMP	MGI:1856298 	J:10432 	
MGI:88024	Ank1	ankyrin 1, erythroid	8		erythrocyte development			IMP	MGI:5502651 	J:199427 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	erythrocyte maturation			IMP		J:235782 	
MGI:2444354	Arid4a	AT-rich interaction domain 4A	12		erythrocyte development			IMP	MGI:3687004 	J:141004 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		erythrocyte maturation			IMP	MGI:5439652 	J:187380 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		erythrocyte development	happens in spleen,results in the development of reticulocyte		IMP	MGI:2158436 	J:105042 	
MGI:3650929	Bloodlinc	Bloodlinc, erythroid developmental long intergenic non-protein coding transcript	11		erythrocyte enucleation			IDA		J:326412 	
MGI:1098242	Bpgm	2,3-bisphosphoglycerate mutase	6		erythrocyte development	happens in bone marrow,happens in spleen		IMP	MGI:6506869 	J:301620 	
MGI:1098242	Bpgm	2,3-bisphosphoglycerate mutase	6		erythrocyte development			ISO	RGD:735018 	J:155856 	
MGI:1924161	Brd1	bromodomain containing 1	15		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		erythrocyte development	happens in liver		IMP	MGI:2385355 	J:149124 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte enucleation			IMP		J:132566 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte enucleation			IMP		J:315605 	
MGI:99670	Dmtn	dematin actin binding protein	14		erythrocyte development			IMP		J:76575 	
MGI:95402	Epb42	erythrocyte membrane protein band 4.2	2		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:95407	Epo	erythropoietin	5		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		erythrocyte maturation			IMP	MGI:2183949 	J:116054 	
MGI:1914267	Fam210b	family with sequence similarity 210, member B	2		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:2444881	Flvcr1	feline leukemia virus subgroup C cellular receptor 1	1		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:105977	G6pd2	glucose-6-phosphate dehydrogenase 2	5		erythrocyte maturation			ISO	P11413 	J:164563 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte development			IMP	MGI:2182739 	J:95754 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte development			IMP		J:94894 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte maturation			ISO	P11413 	J:164563 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte development			IEA	ENSP00000365858 P15976 	J:342605 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte development			ISO	P15976 	J:164563 	
MGI:3801763	Gm15915	predicted gene 15915	10		erythrocyte maturation			IMP		J:340249 	
MGI:96015	Hba-a1	hemoglobin alpha, adult chain 1	11		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96016 	J:28392 	
MGI:96016	Hba-a2	hemoglobin alpha, adult chain 2	11		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96015 	J:28392 	
MGI:96019	Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	11		erythrocyte maturation	results in the maturation of erythroid progenitor cell,results in the maturation of erythrocyte		IMP		J:19573 	
MGI:96021	Hbb-b1	hemoglobin, beta adult major chain	7		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96022 	J:30155 	
MGI:96022	Hbb-b2	hemoglobin, beta adult minor chain	7		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96021 	J:30155 	
MGI:1333752	Hdac6	histone deacetylase 6	X		erythrocyte enucleation			IMP		J:315605 	
MGI:2444491	Heatr3	HEAT repeat containing 3	8		erythrocyte maturation			ISO	Q7Z4Q2 	J:164563 	
MGI:2444491	Heatr3	HEAT repeat containing 3	8		erythrocyte maturation			ISS	Q7Z4Q2 	J:342587 	
