"","value.cor","pvalue"
"Cmtm7",-0.795745611443016,0
"Zfp36l2",-0.687041536740557,0
"Ctla2a",-0.675751358367654,0
"Gata2",-0.658257887945957,0
"Sox4",-0.649878045069832,0
"Myb",-0.620068869157763,0
"Laptm5",-0.605147502885697,0
"Mef2c",-0.561886868972176,0
"Angpt1",-0.54921572871777,0
"Clec4d",-0.547672112422006,0
"Lgals1",-0.52829350598795,0
"Jun",-0.488167757104373,0
"Cbfa2t3",-0.488026083307696,0
"Clec2d",-0.468158197696493,0
"Tmem176b",-0.45899082040455,0
"Foxp1",-0.457276379957996,0
"Meis1",-0.441895111765488,0
"Cited2",-0.438785323468605,0
"Ogt",-0.420542394032014,0
"Kit",-0.419420972689548,0
"Ptprc",-0.400596947641709,0
"Hdac7",-0.399798806116198,0
"Pbx1",-0.3932371842551,0
"Kmt2a",-0.385558869126797,0
"Dock2",-0.385164026164632,0
"Dock10",-0.378674990788498,0
"Rhoh",-0.370616697958303,0
"Cnn2",-0.365036991743581,0
"Spn",-0.360793279985141,0
"Rac2",-0.360411868276007,0
"Bcl2",-0.355850656686587,0
"Fli1",-0.346432664875351,0
"Gimap1",-0.344281066783707,0
"Runx1",-0.337283312459056,0
"Tmem176a",-0.337092447525686,0
"H2-DMa",-0.334705286033226,0
"Irf2bp2",-0.331830609652839,0
"Spi1",-0.330728729626921,0
"Syk",-0.326963945462058,0
"Chd2",-0.317115533731966,0
"Prtn3",-0.308431980796746,0
"H2-Oa",-0.308342140460324,0
"Smarca2",-0.304641270568713,0
"Adgrg3",-0.299923916595333,0
"Stat3",-0.299003993913761,0
"Anxa1",-0.292649800560492,0
"Fos",-0.287326332103292,0
"Cd27",-0.279871281208192,0
"Bmyc",-0.27941538783311,0
"Pim1",-0.264540085678609,0
"Tnfrsf13b",-0.264105510325653,0
"Gm15915",-0.258472924936388,0
"Egr1",-0.258375717702006,0
"Fcer1g",-0.258245014212159,0
"Scin",-0.249336424435836,0
"Bcl11a",-0.239826070929904,0
"Smad7",-0.238796701111589,5.13828271674896e-322
"Slamf1",-0.237203849540587,1.24107215159609e-317
"Hoxa9",-0.219022810599576,5.79321273941914e-270
"Nfkbia",-0.211915231633421,1.82853133205702e-252
"Cd34",-0.209449211124653,1.53518936281986e-246
"Myh9",-0.208628396971762,1.38425372206742e-244
"Junb",-0.199833840093204,3.67810795831091e-224
"Tmem131l",-0.199181514670147,1.10316033770634e-222
"Runx2",-0.19664684500782,5.39785451681617e-217
"Cd79b",-0.188727505583491,1.0088726615119e-199
"Zbtb16",-0.188526798394708,2.70189459641705e-199
"Gp9",-0.18205585818139,9.21590293019876e-186
"AY036118",-0.181943978142133,1.5634334011063e-185
"Zfp608",-0.16755988612967,2.8785259697272e-157
"Zfp950",-0.16718188907196,1.47491079186908e-156
"Rabgap1l",-0.166278256514409,7.21544664071868e-155
"Ptpn22",-0.16557532942278,1.46498721127145e-153
"Zfp36",-0.159534959227132,1.45189246342243e-142
"Prkca",-0.158560299526216,7.8712594345549e-141
"Stat4",-0.156380017818732,5.43094008256025e-137
"Myc",-0.155388563128628,2.8981935579026e-135
"Samd9l",-0.155349443299122,3.38878376300662e-135
"Il2rg",-0.153993222348589,7.47379412143671e-133
"Gp5",-0.149543129222106,2.58490423256379e-125
"Gimap5",-0.148537936227937,1.21180029522575e-123
"Tespa1",-0.148378909700568,2.22184578878589e-123
"Itpkb",-0.146999521647707,4.1504788157926e-121
"Rbp1",-0.141881517063667,7.12982339687598e-113
"Fgl2",-0.139178616467254,1.20221715511672e-108
"Ccl9",-0.136958330563138,3.08455666033115e-105
"Apc",-0.136357468208532,2.52381735272563e-104
"Cyld",-0.135667450559134,2.7877621481584e-103
"Prex1",-0.135487560749337,5.20381760302285e-103
"Stat1",-0.133235996218557,1.1958411357686e-99
"Cebpa",-0.132402086989882,2.03171971871061e-98
"Pou2f2",-0.13107888964934,1.75192161895945e-96
"Irf1",-0.12890071875135,2.43365410547821e-93
"Igkc",-0.126897047302471,1.69584298051687e-90
"Zeb1",-0.121034227457954,1.93131761218332e-82
"Nedd9",-0.118903043181151,1.31125216703919e-79
"Satb1",-0.108429752325057,1.94054641325609e-66
"Mecom",-0.105091562564123,1.6830865706237e-62
"Jak2",-0.104242544056917,1.61352680144433e-61
"Tpd52",-0.102636838762666,1.10222661460779e-59
"Tnfaip3",-0.101936743239058,6.80895551249454e-59
"Il6",-0.101650027564157,1.43009097733073e-58
"Pik3r1",-0.0998988092038016,1.27017486300493e-56
"Gpr171",-0.0989175832009735,1.51580650527325e-55
"Il12a",-0.0983425473063465,6.40737728316279e-55
"Tyrobp",-0.0968188993443865,2.80295921584852e-53
"Gpr183",-0.0954238837564507,8.45889582284435e-52
"Pglyrp2",-0.0918916814961345,3.77585435177173e-48
"Lag3",-0.0916006774249878,7.43894341023179e-48
"H2-Ab1",-0.0905985883845264,7.55831680832768e-47
"Clec2i",-0.0845240588073972,5.5427666547759e-41
"Ighm",-0.0841123086600916,1.33814183389936e-40
"Inpp4b",-0.0831784622213674,9.7204295334851e-40
"Gadd45g",-0.0828302442706288,2.02460555337362e-39
"Mpl",-0.082263855780112,6.63408675828022e-39
"Gata3",-0.0798653430246179,9.23152323426446e-37
"Malt1",-0.0794371422521354,2.19415210031645e-36
"Rara",-0.0783596086472139,1.89879759379304e-35
"Ets1",-0.0747857859728633,1.97398322149364e-32
