gene,symbol,score
ENSG00000188290,HES4,4766.384859831098
ENSG00000187608,ISG15,2521.840462601069
ENSG00000131584,ACAP3,4414.241388415587
ENSG00000197921,HES5,860.2328957649498
ENSG00000116254,CHD5,5655.604988832766
ENSG00000225077,ICMT-DT,
ENSG00000074800,ENO1,4935.007884319743
ENSG00000228526,MIR34AHG,
ENSG00000116649,SRM,4697.501753263301
ENSG00000225602,MTOR-AS1,1742358466.8894153
ENSG00000162496,DHRS3,190759.16099308652
ENSG00000162493,PDPN,24068.975212735513
ENSG00000189337,KAZN,6845.827772977252
ENSG00000142634,EFHD2,2489.3861333878003
ENSG00000142615,CELA2A,
ENSG00000224174,,
ENSG00000117215,PLA2G2D,371.08109642766743
ENSG00000127483,HP1BP3,5257.313853594061
ENSG00000173372,C1QA,40613.58362639247
ENSG00000173369,C1QB,490036.88300666865
ENSG00000204219,TCEA3,184344.08565325273
ENSG00000007968,E2F2,7922.563346405695
ENSG00000117318,ID3,769.5261460616791
ENSG00000189266,PNRC2,4755.5850560835
ENSG00000020633,RUNX3,
ENSG00000198830,HMGN2,4247.842775771783
ENSG00000126709,IFI6,4129.338176165856
ENSG00000162511,LAPTM5,3627.7372053128415
ENSG00000162512,SDC3,3449.0563179471374
ENSG00000182866,LCK,
ENSG00000121900,TMEM54,4402.513499907674
ENSG00000121904,CSMD2,4857.037685001445
ENSG00000092853,CLSPN,7747.060842059276
ENSG00000171812,COL8A2,2053573762.8126438
ENSG00000119535,CSF3R,
ENSG00000284650,LOC124904027,
ENSG00000134690,CDCA8,7422.053063851797
ENSG00000163909,HEYL,
ENSG00000065978,YBX1,8647.42699235913
ENSG00000164007,CLDN19,16833.005240754374
ENSG00000117399,CDC20,9722.76163384508
ENSG00000142945,KIF2C,10476.708079039465
ENSG00000117450,PRDX1,4246.645913122994
ENSG00000132780,NASP,5334.027174454063
ENSG00000123473,STIL,6807.53984604554
ENSG00000132122,SPATA6,8851.45071379774
ENSG00000142700,DMRTA2,7276.521667733071
ENSG00000123080,CDKN2C,3387.816758267722
ENSG00000162407,PLPP3,28329.017333972435
ENSG00000187889,FYB2,
ENSG00000173406,DAB1,4353.2508369535135
ENSG00000177606,JUN,5302.465848188809
ENSG00000172456,FGGY,9403.872223528184
ENSG00000162599,NFIA,3939.4574614617422
ENSG00000162607,USP1,3916.0075401733575
ENSG00000142856,ITGB3BP,6043.120055622189
ENSG00000162433,AK4,5058.974141868968
ENSG00000116717,GADD45A,5643.987581128981
ENSG00000172380,GNG12,7504.669948769174
ENSG00000162595,DIRAS3,86564.30285613234
ENSG00000116729,WLS,6327.747583340659
ENSG00000024526,DEPDC1,145834.45085100082
ENSG00000172260,NEGR1,2948.8079682301886
ENSG00000162621,LRRC53,
ENSG00000178965,ERICH3,884.1511148829402
ENSG00000154027,AK5,3796.055462063818
ENSG00000273338,,1183400.7989969032
ENSG00000137959,IFI44L,1005.6136078960091
ENSG00000174021,GNG5,4972.100719710146
ENSG00000153904,DDAH1,3750.7279400855027
ENSG00000142871,CCN1,4737.726236885811
ENSG00000143013,LMO4,4665.206224665429
ENSG00000189195,BTBD8,4494.050247157645
ENSG00000122483,CCDC18,7938.55221827476
ENSG00000117528,ABCD3,4248.335811939707
ENSG00000117525,F3,6058.840527059532
ENSG00000117519,CNN3,3955.277092618062
ENSG00000228971,LINC02607,7004.429912591626
ENSG00000225206,MIR137HG,5251.670150020151
ENSG00000259946,,4510.770048811555
ENSG00000099260,PALMD,2755.654541442735
ENSG00000162692,VCAM1,39688.09576267778
