gene,symbol,score
ENSG00000188290,HES4,4365.921706685816
ENSG00000187608,ISG15,2546.6092904802385
ENSG00000188157,AGRN,3919.7883633030465
ENSG00000131584,ACAP3,3861.876802693059
ENSG00000116151,MORN1,5804.461444373225
ENSG00000149527,PLCH2,4680.018310651631
ENSG00000197921,HES5,4472.657952332226
ENSG00000162591,MEGF6,3129.42085150626
ENSG00000196581,AJAP1,3896.8869478614897
ENSG00000069424,KCNAB2,4600.42395033255
ENSG00000116254,CHD5,4886.745722726115
ENSG00000162413,KLHL21,5356.573490838089
ENSG00000171608,PIK3CD,3549.3900995458876
ENSG00000171603,CLSTN1,4826.642477364355
ENSG00000116649,SRM,5352.902124605312
ENSG00000162490,DRAXIN,5454.354454079123
ENSG00000189337,KAZN,4875.537786068364
ENSG00000226029,LINC01772,2863.218361828827
ENSG00000117154,IGSF21,5971.623356944373
ENSG00000076864,RAP1GAP,7182.9019833270095
ENSG00000001461,NIPAL3,3202.3261000699813
ENSG00000117602,RCAN3,3190.275059895944
ENSG00000198830,HMGN2,5682.937381242869
ENSG00000121769,FABP3,4512.69388645435
ENSG00000203325,,5888.495951840211
ENSG00000162520,SYNC,4748.719523894358
ENSG00000121904,CSMD2,3415.1505555500244
ENSG00000116544,DLGAP3,4088.815839938731
ENSG00000116819,TFAP2E,4980.666889102557
ENSG00000092853,CLSPN,4680.688109314779
ENSG00000163873,GRIK3,3383.533958706013
ENSG00000183317,EPHA10,3226.165926247187
ENSG00000158315,RHBDL2,5774.786846888822
ENSG00000049089,COL9A2,4575.959339127453
ENSG00000281207,SLFNL1-AS1,2474.0260442964686
ENSG00000127124,HIVEP3,4933.778370881609
ENSG00000186409,CCDC30,6733.116957606474
ENSG00000065978,YBX1,24262.05765249151
ENSG00000117399,CDC20,4407.822559353696
ENSG00000142949,PTPRF,4097.719340442325
ENSG00000142945,KIF2C,6369.2298038402
ENSG00000142937,RPS8,32265.653171339523
ENSG00000117425,PTCH2,4665.236872718639
ENSG00000117450,PRDX1,6870.385322479421
ENSG00000186377,CYP4X1,9843.581568772534
ENSG00000186094,AGBL4,6424.291552468451
ENSG00000162374,ELAVL4,5338.665704430087
ENSG00000203356,LINC01562,6019.489323166335
ENSG00000169213,RAB3B,4290.385616453968
ENSG00000157193,LRP8,4812.860307193404
ENSG00000162407,PLPP3,3101.9035176214047
ENSG00000162409,PRKAA2,2878.9601963620557
ENSG00000187889,FYB2,
ENSG00000173406,DAB1,5307.074606988601
ENSG00000172456,FGGY,3448.584659068033
ENSG00000134709,HOOK1,4735.370733637017
ENSG00000162599,NFIA,3953.1202397984894
ENSG00000158966,CACHD1,6293.29826087826
ENSG00000116675,DNAJC6,3392.0117837948437
ENSG00000118473,SGIP1,4179.398863372949
ENSG00000152763,DNAI4,13092.944898972255
ENSG00000116717,GADD45A,4409.512620401421
ENSG00000172380,GNG12,6755.847443567853
ENSG00000116729,WLS,1495.532677812764
ENSG00000033122,LRRC7,5969.970673877566
ENSG00000237919,LRRC7-AS1,1270.5115678136394
ENSG00000172260,NEGR1,6300.734292727151
ENSG00000178965,ERICH3,875.6674981594908
ENSG00000137968,SLC44A5,4377.324847270761
ENSG00000057468,MSH4,1806.2814861115942
ENSG00000184005,ST6GALNAC3,6009.897151366976
ENSG00000137959,IFI44L,5709.712079546844
ENSG00000137941,TTLL7,5022.139670184457
ENSG00000174021,GNG5,4746.471686932703
ENSG00000223653,BCL10-AS1,14720.867142771334
ENSG00000153904,DDAH1,4655.779391475483
ENSG00000142871,CCN1,2512.358164899395
ENSG00000122417,ODF2L,4299.327551183702
ENSG00000097033,SH3GLB1,4681.090903206524
ENSG00000143013,LMO4,5158.8501927573125
ENSG00000172031,EPHX4,5139.594858627878
ENSG00000122484,RPAP2,4096.679610914643
ENSG00000117525,F3,7592.48153536352
ENSG00000117519,CNN3,5913.053861417889
ENSG00000228971,LINC02607,3488.068650754436
ENSG00000188641,DPYD,3207.364238598094
ENSG00000225206,MIR137HG,3908.637323359191
ENSG00000226053,LINC01776,28564.031136501013
ENSG00000162627,SNX7,4546.946571836997
ENSG00000117598,PLPPR5,4487.3932086161785
ENSG00000232825,PLPPR5-AS1,3419.0039404012255
ENSG00000117600,PLPPR4,4898.278113757069
ENSG00000099260,PALMD,4373.976720683425
ENSG00000137992,DBT,4052.4322971292495
ENSG00000118733,OLFM3,3797.4352362903796
ENSG00000060718,COL11A1,4926.2900675457095
ENSG00000185946,RNPC3,3478.0753965457716
ENSG00000162631,NTNG1,8219.475532377486
ENSG00000134215,VAV3,20501.94592419186
ENSG00000162641,AKNAD1,2553.7685485289717
ENSG00000134222,PSRC1,4092.2633966743565
ENSG00000197106,SLC6A17,13515.17189050435
ENSG00000134245,WNT2B,5129.864611330469
ENSG00000226419,SLC16A1-AS1,3873.5766270529407
ENSG00000238198,LRIG2-DT,3134.0366153368373
ENSG00000134207,SYT6,3937.393944530895
ENSG00000163393,SLC22A15,
ENSG00000163399,ATP1A1,3765.160418462013
ENSG00000143061,IGSF3,4724.556065133133
ENSG00000155761,SPAG17,1268.49172578696
ENSG00000092621,PHGDH,4688.327981955944
ENSG00000134250,NOTCH2,7471.745747751307
ENSG00000265972,TXNIP,4497.211982973608
ENSG00000131781,FMO5,8093.442685809251
ENSG00000278811,LINC00624,2537.7730898319132
ENSG00000014914,MTMR11,68529.710376663
ENSG00000143401,ANP32E,3503.497033589437
ENSG00000228126,FALEC,1950.9439348397946
ENSG00000143443,C1orf56,3593.6693196934784
ENSG00000178796,RIIAD1,5073.105862007396
ENSG00000197956,S100A6,8303.666460261416
ENSG00000188643,S100A16,32273.979228636847
ENSG00000189171,S100A13,3365.897786716475
ENSG00000143554,SLC27A3,2069.9233528989403
ENSG00000198837,DENND4B,3239.1295070203373
ENSG00000143545,RAB13,5302.010774633548
ENSG00000177954,RPS27,25371.821504582185
ENSG00000143552,NUP210L,169277.20545246362
ENSG00000143603,KCNN3,4244.152068863407
ENSG00000173207,CKS1B,3912.0954513756274
ENSG00000169231,THBS3,6535.42545172798
ENSG00000160789,LMNA,4313.098824343997
ENSG00000196189,SEMA4A,4656.264613024026
ENSG00000125462,MIR9-1HG,12262.744204792827
ENSG00000132692,BCAN,6596.078089515598
ENSG00000163565,IFI16,4246.5683410230795
ENSG00000162706,CADM3,4093.6436727812647
ENSG00000158710,TAGLN2,4823.491137420993
ENSG00000018625,ATP1A2,2218.896714646646
ENSG00000162734,PEA15,5369.733342638406
ENSG00000171786,NHLH1,3654.5882955557427
ENSG00000143228,NUF2,1432.8108358172963
ENSG00000143171,RXRG,
ENSG00000188859,FAM78B,4409.852071130096
ENSG00000143153,ATP1B1,4355.366624873776
ENSG00000197959,DNM3,4609.532615885797
ENSG00000203739,PRDX6-AS1,1287.139644288711
ENSG00000152061,RABGAP1L,4545.335407748066
ENSG00000116147,TNR,3093.4160771743373
ENSG00000227740,LINC02803,9906.851159750933
ENSG00000116183,PAPPA2,3220.8566948970224
ENSG00000198797,BRINP2,1895.329906412615
ENSG00000075391,RASAL2,4005.043648520164
ENSG00000121454,LHX4,3742.526084126099
ENSG00000243155,,4870.058708759749
ENSG00000198216,CACNA1E,5267.709419160305
ENSG00000143333,RGS16,15719.737483791034
