gene,symbol,score
ENSG00000188290,HES4,4725.712042427874
ENSG00000187608,ISG15,7919.5264392048975
ENSG00000188157,AGRN,3594.5385164982977
ENSG00000131584,ACAP3,4519.4162271423265
ENSG00000116151,MORN1,888.9033247084213
ENSG00000149527,PLCH2,9063.12020609368
ENSG00000197921,HES5,4639.710802600057
ENSG00000162591,MEGF6,8483.022033946223
ENSG00000196581,AJAP1,277506.16064955964
ENSG00000069424,KCNAB2,4018.870414423993
ENSG00000116254,CHD5,6118.132145916369
ENSG00000162413,KLHL21,3825.351258629628
ENSG00000171608,PIK3CD,1772.5849355348976
ENSG00000171603,CLSTN1,4344.2485867682935
ENSG00000116649,SRM,5673.506654343047
ENSG00000162490,DRAXIN,4858.681845753713
ENSG00000189337,KAZN,2366.636849861865
ENSG00000226029,LINC01772,2847.355113076197
ENSG00000117154,IGSF21,1957.9132188387937
ENSG00000076864,RAP1GAP,3040.1630186214225
ENSG00000001461,NIPAL3,6556.818229727912
ENSG00000117602,RCAN3,5711.327570394195
ENSG00000198830,HMGN2,5642.044692035354
ENSG00000121769,FABP3,15764.156736133229
ENSG00000203325,,23653.97284309321
ENSG00000162520,SYNC,5038.127425335294
ENSG00000121904,CSMD2,4335.841683352238
ENSG00000116544,DLGAP3,6137.201772662433
ENSG00000116819,TFAP2E,6796.901806126565
ENSG00000092853,CLSPN,10923.393385781479
ENSG00000163873,GRIK3,1828.044349874952
ENSG00000183317,EPHA10,7261.2721836912
ENSG00000158315,RHBDL2,5414.642843186832
ENSG00000049089,COL9A2,3991.079219829764
ENSG00000281207,SLFNL1-AS1,13789.672600413234
ENSG00000127124,HIVEP3,3222.723692228204
ENSG00000186409,CCDC30,3966.4510645623436
ENSG00000065978,YBX1,28367.590578937146
ENSG00000117399,CDC20,20634.093634930225
ENSG00000142949,PTPRF,5134.651477425027
ENSG00000142945,KIF2C,2851.299993770232
ENSG00000142937,RPS8,38834.922649246495
ENSG00000117425,PTCH2,3616.5716378725992
ENSG00000117450,PRDX1,7737.043385703114
ENSG00000186377,CYP4X1,4399.550116495056
ENSG00000186094,AGBL4,3527.0983483272903
ENSG00000162374,ELAVL4,5273.512429779468
ENSG00000203356,LINC01562,13561.100666842707
ENSG00000169213,RAB3B,11432.159178902419
ENSG00000157193,LRP8,4297.137581358052
ENSG00000162407,PLPP3,53988.521417586555
ENSG00000162409,PRKAA2,6173.660206476412
ENSG00000187889,FYB2,
ENSG00000173406,DAB1,5826.586963045988
ENSG00000172456,FGGY,13271.405340428899
ENSG00000134709,HOOK1,2681.5983823363185
ENSG00000162599,NFIA,3941.0727451526254
ENSG00000158966,CACHD1,3968.6005151037007
ENSG00000116675,DNAJC6,3911.2964711175655
ENSG00000118473,SGIP1,4069.6115706366563
ENSG00000152763,DNAI4,10982.181486897314
ENSG00000116717,GADD45A,4943.823688552055
ENSG00000172380,GNG12,5027.497470381677
ENSG00000116729,WLS,322.1385355072182
ENSG00000033122,LRRC7,6366.160405285171
ENSG00000237919,LRRC7-AS1,343226.8261324986
ENSG00000172260,NEGR1,6650.40560330748
ENSG00000178965,ERICH3,55811.81607764075
ENSG00000137968,SLC44A5,4524.373728473055
ENSG00000057468,MSH4,3736.1663420621735
ENSG00000184005,ST6GALNAC3,2588.734748637446
ENSG00000137959,IFI44L,1119.4875990599369
ENSG00000137941,TTLL7,5283.580831719374
ENSG00000174021,GNG5,5901.07328257548
ENSG00000223653,BCL10-AS1,175293.84819826973
ENSG00000153904,DDAH1,4188.863330793386
ENSG00000142871,CCN1,126782.1639543629
ENSG00000122417,ODF2L,3907.0590779632953
ENSG00000097033,SH3GLB1,5942.8014130906995
ENSG00000143013,LMO4,4844.859469729657
ENSG00000172031,EPHX4,3693.7073473610967
ENSG00000122484,RPAP2,4479.615301702789
ENSG00000117525,F3,35622.45544969748
ENSG00000117519,CNN3,5471.800662893909
ENSG00000228971,LINC02607,29120.870447645604
ENSG00000188641,DPYD,5565.691787453606
ENSG00000225206,MIR137HG,3727.4010761007644
ENSG00000226053,LINC01776,30493344.831105813
ENSG00000162627,SNX7,4489.37752033084
ENSG00000117598,PLPPR5,5070.901396716799
ENSG00000232825,PLPPR5-AS1,29994.488649220377
ENSG00000117600,PLPPR4,3542.1728667621423
ENSG00000099260,PALMD,4212.647855797579
ENSG00000137992,DBT,2896.108918719241
ENSG00000118733,OLFM3,5439.859450661145
ENSG00000060718,COL11A1,35317.47487994995
ENSG00000185946,RNPC3,2628.6688307789996
ENSG00000162631,NTNG1,15866.027009915975
ENSG00000134215,VAV3,1005.0276602426312
ENSG00000162641,AKNAD1,2052.867410130879
ENSG00000134222,PSRC1,5285.084230533993
ENSG00000197106,SLC6A17,266121.3855769363
ENSG00000134245,WNT2B,8601.817925338984
ENSG00000226419,SLC16A1-AS1,6119.4350890863025
ENSG00000238198,LRIG2-DT,1857.9115602941351
ENSG00000134207,SYT6,6049.976779814588
ENSG00000163393,SLC22A15,
