gene,symbol,score
ENSG00000188290,HES4,5000.80312547392
ENSG00000187608,ISG15,3220.4068214036515
ENSG00000188157,AGRN,5089.598349404273
ENSG00000131584,ACAP3,2772.9849971739727
ENSG00000116151,MORN1,3592.564624176475
ENSG00000149527,PLCH2,6941.660110866346
ENSG00000197921,HES5,7567.890645899523
ENSG00000162591,MEGF6,3583.704862169357
ENSG00000196581,AJAP1,107454.68634574111
ENSG00000069424,KCNAB2,11122.914838217479
ENSG00000116254,CHD5,5128.590563934123
ENSG00000162413,KLHL21,5207.682668742593
ENSG00000171608,PIK3CD,2100.9655355393666
ENSG00000171603,CLSTN1,4332.652134319087
ENSG00000116649,SRM,5089.685147421849
ENSG00000162490,DRAXIN,4990.84869400687
ENSG00000189337,KAZN,5269.378149392017
ENSG00000226029,LINC01772,3589.445779539427
ENSG00000117154,IGSF21,6100.362367274512
ENSG00000076864,RAP1GAP,3142.0208377023714
ENSG00000001461,NIPAL3,3687.41000451057
ENSG00000117602,RCAN3,2616.1983205175525
ENSG00000198830,HMGN2,6124.688282228655
ENSG00000121769,FABP3,8783.847386917636
ENSG00000203325,,7530.915149113696
ENSG00000162520,SYNC,4277.32251281066
ENSG00000121904,CSMD2,3695.4010722677917
ENSG00000116544,DLGAP3,3113.921414021586
ENSG00000116819,TFAP2E,7486.860671580069
ENSG00000092853,CLSPN,3880.839361548331
ENSG00000163873,GRIK3,3092.9975864484095
ENSG00000183317,EPHA10,2307.3081804245408
ENSG00000158315,RHBDL2,4073.8921754231737
ENSG00000049089,COL9A2,4556.811957671428
ENSG00000281207,SLFNL1-AS1,4106.95057772446
ENSG00000127124,HIVEP3,5206.977616426737
ENSG00000186409,CCDC30,1938.6214025656975
ENSG00000065978,YBX1,29390.628275128583
ENSG00000117399,CDC20,4759.243375336698
ENSG00000142949,PTPRF,2965.6523244073383
ENSG00000142945,KIF2C,2625.398467403807
ENSG00000142937,RPS8,36589.06520446734
ENSG00000117425,PTCH2,4447.275118730213
ENSG00000117450,PRDX1,7579.549137944241
ENSG00000186377,CYP4X1,13599.89649856921
ENSG00000186094,AGBL4,4751.995988392816
ENSG00000162374,ELAVL4,5519.528843548097
ENSG00000203356,LINC01562,3523.4711281724735
ENSG00000169213,RAB3B,8556.163774304578
ENSG00000157193,LRP8,4361.00550956852
ENSG00000162407,PLPP3,20335.68883558869
ENSG00000162409,PRKAA2,5852.091933398882
ENSG00000187889,FYB2,
ENSG00000173406,DAB1,6495.17659324124
ENSG00000172456,FGGY,15594.21396198655
ENSG00000134709,HOOK1,5671.998428951244
ENSG00000162599,NFIA,4439.856713858803
ENSG00000158966,CACHD1,9046.214845814118
ENSG00000116675,DNAJC6,4707.134241065861
ENSG00000118473,SGIP1,3916.121582444971
ENSG00000152763,DNAI4,10194.108704021819
ENSG00000116717,GADD45A,4767.149993335586
ENSG00000172380,GNG12,3064.3986661172653
ENSG00000116729,WLS,28327.607462955144
ENSG00000033122,LRRC7,6438.41303895665
ENSG00000237919,LRRC7-AS1,19190.113087249334
ENSG00000172260,NEGR1,7215.33729244255
ENSG00000178965,ERICH3,52226.77597330646
ENSG00000137968,SLC44A5,5754.740379991845
ENSG00000057468,MSH4,8248.763771625785
ENSG00000184005,ST6GALNAC3,2607.1661511672
ENSG00000137959,IFI44L,2532.5700947273326
ENSG00000137941,TTLL7,5427.351611043943
ENSG00000174021,GNG5,4754.748407553401
ENSG00000223653,BCL10-AS1,13659.914284956667
ENSG00000153904,DDAH1,2283.572122692038
ENSG00000142871,CCN1,24802.563729535752
ENSG00000122417,ODF2L,4143.817217002607
ENSG00000097033,SH3GLB1,3419.1819180637854
ENSG00000143013,LMO4,5144.59094434332
ENSG00000172031,EPHX4,3384.817522623958
ENSG00000122484,RPAP2,3938.8595394632066
ENSG00000117525,F3,18633.673276149046
ENSG00000117519,CNN3,6131.683681973108
ENSG00000228971,LINC02607,7860.347615845675
ENSG00000188641,DPYD,8454.873091365333
ENSG00000225206,MIR137HG,3074.6319386160194
ENSG00000226053,LINC01776,233404.70800504021
ENSG00000162627,SNX7,5223.106243012255
ENSG00000117598,PLPPR5,4124.263494476342
ENSG00000232825,PLPPR5-AS1,37327.90214294837
ENSG00000117600,PLPPR4,4237.33715980004
ENSG00000099260,PALMD,5349.731589799616
ENSG00000137992,DBT,4318.087184648499
ENSG00000118733,OLFM3,7383.417541158551
ENSG00000060718,COL11A1,12288.595281126096
ENSG00000185946,RNPC3,2763.458801292772
ENSG00000162631,NTNG1,39751.24320937701
ENSG00000134215,VAV3,18752.265861520107
ENSG00000162641,AKNAD1,4699.074660292185
ENSG00000134222,PSRC1,2792.6634911635897
ENSG00000197106,SLC6A17,138561.89464994645
ENSG00000134245,WNT2B,5472.466926156874
ENSG00000226419,SLC16A1-AS1,5177.026415637317
ENSG00000238198,LRIG2-DT,4509.096586975406
ENSG00000134207,SYT6,3399.5061830658656
ENSG00000163393,SLC22A15,
ENSG00000163399,ATP1A1,3450.8092632806215
ENSG00000143061,IGSF3,4657.738400936927
ENSG00000155761,SPAG17,451.66424178511096
ENSG00000092621,PHGDH,4267.163587358667
ENSG00000134250,NOTCH2,16513.60110508559
ENSG00000265972,TXNIP,4088.1252829254663
ENSG00000131781,FMO5,10191.460543534005
ENSG00000278811,LINC00624,2263.5843658493827
ENSG00000014914,MTMR11,11853.22981195938
ENSG00000143401,ANP32E,3029.7136031483233
ENSG00000228126,FALEC,1874.3615541952402
ENSG00000143443,C1orf56,3413.640430348039
ENSG00000178796,RIIAD1,4487.143102951029
ENSG00000197956,S100A6,3110.623166923328
ENSG00000188643,S100A16,192530.78748860979
ENSG00000189171,S100A13,41123.24498708262
