gene,symbol,score
ENSG00000188290,HES4,4141.856644646568
ENSG00000197921,HES5,4034.8022583968436
ENSG00000196581,AJAP1,1944.1658952384666
ENSG00000116649,SRM,5199.146358811748
ENSG00000162490,DRAXIN,5017.790486626541
ENSG00000189337,KAZN,4989.495033892348
ENSG00000117154,IGSF21,4572.995070890392
ENSG00000076864,RAP1GAP,2723.8499726175364
ENSG00000001461,NIPAL3,3311.1676225445553
ENSG00000117602,RCAN3,3518.6864884517818
ENSG00000198830,HMGN2,5421.662169844655
ENSG00000121904,CSMD2,3692.2006806977697
ENSG00000092853,CLSPN,5651.09254616377
ENSG00000049089,COL9A2,4343.594763218515
ENSG00000117399,CDC20,5506.2197073018815
ENSG00000142945,KIF2C,1408.3402271096695
ENSG00000117450,PRDX1,5856.28615150385
ENSG00000157193,LRP8,4725.979421655802
ENSG00000187889,FYB2,
ENSG00000173406,DAB1,4856.136240654671
ENSG00000172456,FGGY,3293.31307411007
ENSG00000162599,NFIA,4283.407555554652
ENSG00000172380,GNG12,7943.583465920303
ENSG00000172260,NEGR1,4145.986246741534
ENSG00000178965,ERICH3,1080.89114381831
ENSG00000137959,IFI44L,9755.000857951438
ENSG00000174021,GNG5,4179.17374369749
ENSG00000153904,DDAH1,5455.8150803711405
ENSG00000142871,CCN1,1861.573335620735
ENSG00000097033,SH3GLB1,5189.142893598039
ENSG00000143013,LMO4,4977.501014412675
ENSG00000117525,F3,3840.2069943960864
ENSG00000117519,CNN3,5242.277072690253
ENSG00000162627,SNX7,4169.08843621272
ENSG00000117598,PLPPR5,4794.944663013858
ENSG00000099260,PALMD,3927.157155274335
ENSG00000118733,OLFM3,3577.9967567881686
ENSG00000060718,COL11A1,4876.438520583921
ENSG00000162631,NTNG1,7174.9355901980625
ENSG00000134222,PSRC1,2908.4520399429593
ENSG00000197106,SLC6A17,3434.7484332067356
ENSG00000134207,SYT6,4212.024866366544
ENSG00000143061,IGSF3,4457.260402576426
ENSG00000092621,PHGDH,4396.379468935053
ENSG00000134250,NOTCH2,4051.9034547447122
ENSG00000143401,ANP32E,3411.5845405739133
ENSG00000189171,S100A13,4561.792325951929
ENSG00000143603,KCNN3,4113.652290653628
ENSG00000173207,CKS1B,4745.056134304302
ENSG00000132692,BCAN,4743.600983799526
ENSG00000162706,CADM3,3680.3178437058855
ENSG00000158710,TAGLN2,4798.873028295929
ENSG00000018625,ATP1A2,3819.808734336779
ENSG00000162734,PEA15,4731.7594275866695
ENSG00000171786,NHLH1,2655.7572116705037
ENSG00000143228,NUF2,2680.830543307777
ENSG00000188859,FAM78B,3896.966986772493
ENSG00000143153,ATP1B1,4197.677200737164
