"","x"
"1",Inf
"2",Inf
"3",Inf
"4",Inf
"5",Inf
"6",Inf
"7",2.95308168887512
"8",Inf
"9",Inf
"10",Inf
"11",Inf
"12",Inf
"13",Inf
"14",0.0161239381839489
"15",106.341549885957
"16",2.06271305140651
"17",0.192369575564215
"18",0.171919508962288
"19",9.11756377913689
"20",6.91701382043933
"21",Inf
"22",Inf
"23",Inf
"24",Inf
"25",3.39924330374015
"26",4.32809634210536
"27",1.02442867204139
"28",0.294072614392592
"29",Inf
"30",Inf
"31",0.238516590372569
"32",Inf
"33",3.76155877914566
"34",2.7896232551462
"35",Inf
"36",12.019712927421
"37",Inf
"38",Inf
"39",Inf
"40",Inf
"41",Inf
"42",Inf
"43",Inf
"44",Inf
"45",0.316440756567931
"46",Inf
"47",0.269416077858553
"48",Inf
"49",58614.6683284842
"50",Inf
"51",Inf
"52",0.0255140581511566
"53",Inf
"54",1.61485815259729
"55",7.61610062143707
"56",5.44547486153531
"57",2.56406719658618
"58",0.00105111014282283
"59",Inf
"60",Inf
"61",1.17524502015349
"62",Inf
"63",Inf
"64",Inf
"65",7.03748853103405
"66",1.15656110382329
"67",Inf
"68",Inf
"69",Inf
"70",Inf
"71",0.41703074554103
"72",1.21777175030405
"73",3.5335357913211
"74",Inf
"75",Inf
"76",Inf
"77",4.79518779848225
"78",Inf
"79",Inf
"80",Inf
"81",Inf
"82",Inf
"83",2.79634934642032
"84",Inf
"85",Inf
"86",Inf
"87",Inf
"88",1.49353178104585
"89",0.0203367601765153
"90",1.73613635147398
"91",Inf
"92",Inf
"93",Inf
"94",Inf
"95",Inf
"96",2.05531133185783
"97",Inf
"98",16.1637021426816
"99",Inf
"100",3.9027617259713
"101",Inf
"102",Inf
"103",4.60814943842049
"104",1.16372494020741
"105",0.826049297396764
"106",Inf
"107",1.88120614366628
"108",Inf
"109",Inf
"110",15.6954894145187
"111",2.58909616847568
"112",Inf
"113",50352.5455685287
"114",Inf
"115",Inf
"116",1.05436525444755
"117",45.4616845624613
"118",Inf
"119",Inf
"120",Inf
"121",Inf
"122",Inf
"123",Inf
"124",Inf
"125",0.355034939007186
"126",Inf
"127",Inf
"128",Inf
"129",Inf
"130",Inf
"131",1.1086764339452
"132",0.27066663541932
"133",Inf
"134",Inf
"135",Inf
"136",2.40100251978295
"137",Inf
"138",Inf
"139",1.33011613434529
"140",3.29526320283575
"141",Inf
"142",Inf
"143",Inf
"144",Inf
"145",0.686230470369776
"146",1.01262263531299
"147",Inf
"148",Inf
"149",Inf
"150",Inf
"151",Inf
"152",Inf
"153",0.00632263872273764
"154",Inf
"155",2.53240854099754
"156",7819.68412053758
"157",1.48590900700098
"158",Inf
"159",22743.4466169665
"160",1.23604509305379
"161",0.588606805913855
"162",Inf
"163",0.959444370658864
"164",Inf
"165",10.4669999297889
"166",Inf
"167",0.271623639844415
"168",Inf
"169",3.38265905177291
"170",1.0496733523844
"171",1.46804086151174
"172",5.25773509859622
"173",2.14763696034782
"174",Inf
"175",Inf
"176",Inf
"177",Inf
"178",Inf
"179",Inf
"180",8246.34857590362
"181",Inf
"182",24.0354073856259
"183",Inf
"184",17.7468915792245
"185",2.82143751439391
"186",1.73465690615801
"187",1.37852821821363
"188",Inf
"189",3.33190424699524
"190",Inf
"191",2.97700356614317
"192",Inf
"193",Inf
"194",Inf
"195",Inf
"196",Inf
"197",Inf
"198",Inf
"199",2.88351091445549
"200",0.947837143245204
"201",Inf
"202",Inf
"203",Inf
"204",Inf
"205",Inf
"206",Inf
"207",Inf
"208",Inf
"209",Inf
"210",Inf
"211",7.67663135982011
"212",Inf
"213",Inf
"214",Inf
"215",Inf
"216",Inf
"217",1.92838261446007
"218",Inf
"219",2.13766308011456
"220",0.21905218602336
"221",Inf
"222",0.11933254503581
"223",Inf
"224",Inf
"225",Inf
"226",Inf
"227",Inf
"228",Inf
"229",Inf
"230",1.04343968926371
"231",Inf
"232",0.514262259605846
"233",1.41407935008822
"234",7.0292677779442e-05
"235",28.65550174877
"236",Inf
"237",Inf
"238",7.79325689129402
"239",0.158043703579102
"240",Inf
"241",0.399363748459563
"242",Inf
"243",22134.7724141494
"244",Inf
"245",0.187479332467119
"246",0.164909278303726
"247",1.16718788949512
"248",0.731247596701248
"249",Inf
"250",0.279532420208241
"251",Inf
"252",Inf
"253",Inf
"254",Inf
"255",Inf
"256",0.356051219917401
"257",Inf
"258",12.4418180288185
"259",1.09575025412753
"260",13.0770238028862
"261",Inf
"262",18.7634892295291
"263",Inf
"264",Inf
"265",0.207015605587307
"266",0.29111054225097
"267",Inf
"268",0.00105111230676067
"269",0.999075974639972
"270",Inf
"271",7.18217145232151
"272",2.20291786776225
"273",2.55132275236477
"274",Inf
"275",2.03428162487381
"276",Inf
"277",0.168891453439871
"278",0.140988036391797
"279",5.54561259341392
"280",Inf
"281",Inf
"282",1.37546267485342
"283",3.31280039208012
"284",Inf
"285",Inf
"286",0.035091135437928
"287",Inf
"288",Inf
"289",Inf
"290",52620.493823248
"291",Inf
"292",Inf
"293",Inf
"294",0.15388235677879
"295",1.95156482102631
"296",2.32227124020967
"297",0.785477588487073
"298",Inf
"299",5.7216611431822
"300",Inf
"301",0.377703247210628
"302",Inf
"303",Inf
"304",0.0997287153866782
"305",Inf
"306",Inf
"307",0.319228160803972
"308",Inf
"309",0.00699324822885855
"310",0.322266102249588
"311",8.70270393353208
"312",Inf
"313",Inf
"314",Inf
"315",Inf
"316",Inf
"317",Inf
"318",Inf
"319",Inf
"320",Inf
"321",Inf
"322",Inf
"323",Inf
"324",Inf
"325",Inf
"326",2.40916191283938
"327",Inf
"328",46479.6369517016
"329",Inf
"330",Inf
"331",Inf
"332",Inf
"333",Inf
"334",Inf
"335",Inf
"336",0.0252156348464418
"337",0.65464719875385
"338",Inf
"339",2.21436587143656
"340",Inf
"341",0.472233518239041
"342",Inf
"343",Inf
"344",Inf
"345",Inf
"346",Inf
"347",Inf
"348",Inf
"349",Inf
"350",Inf
"351",Inf
"352",Inf
"353",Inf
"354",Inf
"355",0.151913224262849
"356",Inf
"357",Inf
"358",Inf
"359",48.4062121151136
"360",Inf
"361",0.981585322761679
"362",0.465629817990889
"363",Inf
"364",5.84058412842524
"365",7.06414440269079
"366",Inf
"367",Inf
"368",Inf
"369",Inf
"370",22.2022766754516
"371",Inf
"372",Inf
"373",Inf
"374",Inf
"375",Inf
"376",Inf
"377",Inf
"378",Inf
"379",1.02762985910646
"380",Inf
"381",Inf
"382",61069.7376687003
"383",0.202566965326364
"384",3.46957461677973
"385",15.0492110550781
"386",6.35759354031392
"387",0.652019919633099
"388",0.00672875188723821
"389",Inf
"390",Inf
"391",Inf
"392",Inf
"393",Inf
"394",Inf
"395",Inf
"396",Inf
"397",1.96182797242019
"398",Inf
"399",0.473719914982628
"400",Inf
"401",Inf
"402",0.242684921712434
"403",3.15876443050771
"404",Inf
"405",Inf
"406",Inf
"407",0.23714832617253
"408",0.942272264591199
"409",7.57477462604483
"410",Inf
"411",Inf
"412",Inf
"413",Inf
"414",Inf
"415",Inf
"416",Inf
"417",0.188046173201943
"418",Inf
"419",7.45209775543638
"420",2.09048963664092
"421",Inf
"422",Inf
"423",0.329619091765083
"424",4.68908482335155
"425",Inf
"426",Inf
"427",1.44331885040308
"428",Inf
"429",15.7219727404099
"430",Inf
"431",0.325307899844359
"432",0.458038968653568
"433",Inf
"434",Inf
"435",Inf
"436",31.4370452900003
"437",Inf
"438",Inf
"439",Inf
"440",4.19143958670484
"441",0.31329693486832
"442",Inf
"443",Inf
"444",4.33625519030396
"445",0.036427130701639
"446",Inf
"447",Inf
"448",0.401882455914986
"449",0.375522481473337
"450",Inf
"451",0.597288681934543
"452",0.000423223893135705
"453",0.383932520268348
"454",4.02436511908595
"455",Inf
"456",Inf
"457",Inf
"458",Inf
"459",Inf
"460",0.191618424842143
"461",Inf
"462",Inf
"463",Inf
"464",Inf
"465",Inf
"466",Inf
"467",Inf
"468",Inf
"469",Inf
"470",2.31422288650502
"471",13.5135987426362
"472",0.83639995092691
"473",0.161320384401794
"474",1.41760803533642
"475",Inf
"476",26148.8325737567
"477",Inf
"478",Inf
"479",Inf
"480",0.82576876884674
"481",Inf
"482",0.246305810770318
"483",970970.266402595
"484",Inf
"485",Inf
"486",191420.249483893
"487",3.81457968348799
"488",Inf
"489",Inf
"490",Inf
"491",Inf
"492",0.579220672533831
"493",Inf
"494",Inf
"495",0.8698326339117
"496",0.446072632403896
"497",0.579589553722827
"498",5.16581558473781
"499",Inf
"500",Inf
"501",15276.4621166966
"502",Inf
"503",Inf
"504",2.52185520057322
"505",2.97632258613005
"506",11.4618993028991
"507",0.968338628559083
"508",6.39361776591946
"509",1.49859041107324
"510",Inf
"511",Inf
"512",0.0266050960952159
"513",Inf
"514",Inf
"515",0.514818115602847
"516",Inf
"517",Inf
"518",6.02727601289143
"519",Inf
"520",Inf
"521",Inf
"522",0.58173453783045
"523",Inf
"524",Inf
"525",0.00175194222602252
"526",Inf
"527",6.55415313120664
"528",Inf
"529",Inf
"530",2.1598550788003
"531",Inf
"532",Inf
"533",Inf
"534",Inf
"535",Inf
"536",Inf
"537",Inf
"538",3.00336166536019
"539",1.17332319276556
"540",0.285530829470719
"541",Inf
"542",Inf
"543",Inf
"544",Inf
"545",Inf
"546",Inf
"547",Inf
"548",Inf
"549",0.531525227315785
"550",Inf
"551",Inf
"552",2.22204843305764
"553",Inf
"554",Inf
"555",3.1962116051951
"556",1.10446619461581
"557",15000.2334758494
"558",Inf
"559",Inf
"560",1.13737260435075
"561",2.99370121669994
"562",0.645835364758419
"563",Inf
"564",Inf
"565",1.00387911541441
"566",0.795460942562297
"567",2.27011211567433
"568",0.191098394809261
"569",Inf
"570",Inf
"571",Inf
"572",Inf
"573",Inf
"574",Inf
"575",Inf
"576",Inf
"577",Inf
"578",Inf
"579",Inf
"580",0.069195155932915
"581",0.892868556718191
"582",0.201343929383963
"583",0.313295804001103
"584",Inf
"585",Inf
"586",Inf
"587",1.1837249627004
"588",5.67231665100305
"589",5.34218402202959
"590",0.235357630891278
"591",12035.4214030902
"592",Inf
"593",1.11545100459882
"594",0.314647453465304
"595",2.74613367638147
"596",1.69864495241465
"597",Inf
"598",Inf
"599",1.41698591266688
"600",Inf
"601",Inf
"602",Inf
"603",0.0618200866892299
"604",Inf
"605",Inf
"606",Inf
"607",Inf
"608",Inf
"609",4.10970142159907
"610",6.10217000242103
"611",30156.8945008603
"612",0.477569267054075
"613",Inf
"614",Inf
"615",2.49199610304256
"616",Inf
"617",7.60171183680724
"618",Inf
"619",Inf
"620",2.98778490155712
"621",Inf
"622",4.41385735356799
"623",0.0699625268206191
"624",0.0888619557035255
"625",0.208914096776348
"626",Inf
"627",Inf
"628",Inf
"629",Inf
"630",Inf
"631",26553.3399175702
"632",Inf
"633",0.579589553721568
"634",Inf
"635",Inf
"636",28.627395582987
"637",0.816497989864854
"638",Inf
"639",Inf
"640",Inf
"641",Inf
"642",Inf
"643",Inf
"644",6.13983252420278
"645",19.7746115994201
"646",0.995009116878823
"647",Inf
"648",1.67723516057038
"649",Inf
"650",Inf
"651",Inf
"652",0.715654424058211
"653",Inf
"654",Inf
"655",Inf
"656",Inf
"657",Inf
"658",Inf
"659",Inf
"660",Inf
"661",Inf
"662",Inf
"663",Inf
"664",3.8414428374561
"665",1.622694973652
"666",Inf
"667",1.4498812998554
"668",Inf
"669",0.108785457141972
"670",0.032065861244831
"671",0.366798179170654
"672",Inf
"673",1.98725309837725
"674",Inf
"675",5.0043098868042
"676",44573.3263078389
"677",Inf
"678",2.32893951066203
"679",3.6270259795168
"680",Inf
"681",Inf
"682",Inf
"683",0.000748017709900019
"684",9.03143221524521
"685",0.0858836473215286
"686",5.63125042552949
"687",0.0262874473218691
"688",11.5818733402142
"689",17.534822162913
"690",3.4565674484444
"691",6.18941507059511
"692",24459.4059847805
"693",Inf
"694",1.24082857979166
"695",1.06452589537989
"696",0.115157844462192
"697",Inf
"698",Inf
"699",Inf
"700",Inf
"701",4.22553280233545
"702",0.0778592409220519
"703",10.123696672893
"704",Inf
"705",1.94086297365119
"706",Inf
"707",Inf
"708",0.141159294841841
"709",Inf
"710",Inf
"711",Inf
"712",1.35010053670852
"713",0.272469165860664
"714",Inf
"715",Inf
"716",Inf
"717",Inf
"718",Inf
"719",Inf
"720",Inf
"721",Inf
"722",Inf
"723",Inf
"724",Inf
"725",Inf
"726",Inf
"727",Inf
"728",Inf
"729",Inf
"730",Inf
"731",Inf
"732",Inf
"733",0.503351479202791
"734",3.65130661542342
"735",2.22011256567253
"736",Inf
"737",0.0123489215476674
"738",Inf
"739",Inf
"740",3.21042690969196
"741",Inf
"742",1.17524746367033
"743",Inf
"744",Inf
"745",Inf
"746",4.06355422315433
"747",Inf
"748",2.37972322789332
"749",Inf
"750",1.50601305204838
"751",Inf
"752",5.29075832747837
"753",28.768786095505
"754",Inf
"755",1.13485819822418
"756",0.716032852803673
"757",Inf
"758",4.23562150350148
"759",Inf
"760",Inf
"761",Inf
"762",Inf
"763",Inf
"764",11.7380025849417
"765",0.00105111014282354
"766",Inf
"767",2.61350153153806
"768",5.68425468854784
"769",Inf
"770",0.615274402346015
"771",Inf
"772",1.96453125800736
"773",Inf
"774",1.37358370357723
"775",Inf
"776",4.13627305387239
"777",Inf
"778",Inf
"779",15600.4063670964
"780",2.40420583709594
"781",0.619558105094305
"782",Inf
"783",Inf
"784",Inf
"785",Inf
"786",Inf
"787",2.42723563932284
"788",Inf
"789",0.170073075841912
"790",Inf
"791",Inf
"792",7.29029207186207
"793",Inf
"794",Inf
"795",Inf
"796",5.27414725380397
"797",Inf
"798",0.0790723677023931
"799",1.65922332404168
"800",Inf
"801",Inf
"802",Inf
"803",Inf
"804",Inf
"805",614700.942146407
"806",Inf
"807",0.0544900511639989
"808",Inf
"809",2.32807506366004
"810",2.00501326844065
"811",Inf
"812",Inf
"813",1.25288661174526
"814",0.555076667656671
"815",9.38791556546628
"816",Inf
"817",0.0132365567386078
"818",0.103024955181415
"819",4.39556901156023
"820",6.29034581157328
"821",Inf
"822",Inf
"823",0.135477077503023
"824",0.0966292502309414
"825",Inf
"826",0.414880354707697
"827",0.48410469473517
"828",3.42171597724073
"829",Inf
"830",0.250131487021196
"831",Inf
"832",Inf
"833",Inf
"834",Inf
"835",Inf
"836",0.451413762496304
"837",Inf
"838",2.74758198485257
"839",Inf
"840",Inf
"841",Inf
"842",Inf
"843",Inf
"844",Inf
"845",10.1359844339383
"846",Inf
"847",Inf
"848",Inf
"849",Inf
"850",3.31925137100793
"851",Inf
"852",18.9755904437599
"853",0.0132365565302507
"854",12.4139705300453
"855",Inf
"856",0.60363437768311
"857",1.69819175749115
"858",Inf
"859",2.01065259272142
"860",Inf
"861",Inf
"862",Inf
"863",1.42043994900085
"864",Inf
"865",Inf
"866",3.4796305632939
"867",Inf
"868",Inf
"869",Inf
"870",0.075418913089793
"871",Inf
"872",Inf
"873",Inf
"874",Inf
"875",0.530468927154148
"876",1.93540318025462
"877",0.52383345710122
"878",Inf
"879",Inf
"880",Inf
"881",7.76944836635044
"882",1.89754355499597
"883",Inf
"884",Inf
"885",0.540621717785564
"886",Inf
"887",7.02926777794134e-05
"888",Inf
"889",Inf
"890",Inf
"891",Inf
"892",Inf
"893",Inf
"894",Inf
"895",Inf
"896",Inf
"897",0.377703247211673
"898",1.5754022292716
"899",Inf
"900",1.15333829067656
"901",0.262319452934106
"902",Inf
