"","x"
"1",0.153853661111273
"2",Inf
"3",Inf
"4",Inf
"5",Inf
"6",Inf
"7",0.605506983814915
"8",0.0266050960951601
"9",Inf
"10",Inf
"11",0.355034939006406
"12",0.146303327538104
"13",Inf
"14",0.0106434518719685
"15",0.963536229785592
"16",2.98691205322487
"17",0.117711329714742
"18",0.0117912592719632
"19",Inf
"20",2.95832485620338
"21",0.0241482996254617
"22",Inf
"23",0.0161239380383109
"24",Inf
"25",2.87945780281973
"26",0.939188682820585
"27",0.687787883227005
"28",0.134189932679215
"29",Inf
"30",Inf
"31",0.340464125623268
"32",0.0307258891187961
"33",0.545208253153241
"34",1.39929461510447
"35",4.03534591545062
"36",0.263299548624789
"37",0.0563863932322216
"38",Inf
"39",Inf
"40",5.80173972889358
"41",Inf
"42",Inf
"43",Inf
"44",Inf
"45",0.308770453197729
"46",Inf
"47",Inf
"48",Inf
"49",Inf
"50",Inf
"51",0.100230444852139
"52",0.0798496976184868
"53",Inf
"54",Inf
"55",6.57697650306102
"56",0.028335569682311
"57",3.1708921315855
"58",0.0137375869544213
"59",Inf
"60",Inf
"61",0.18143948708932
"62",Inf
"63",Inf
"64",Inf
"65",4.72259908622054
"66",1.24659329528461
"67",Inf
"68",Inf
"69",Inf
"70",Inf
"71",0.336891933231926
"72",0.0836511411611319
"73",7.91342700183857
"74",Inf
"75",Inf
"76",Inf
"77",Inf
"78",Inf
"79",Inf
"80",Inf
"81",Inf
"82",Inf
"83",3.9743204235693
"84",Inf
"85",Inf
"86",Inf
"87",Inf
"88",0.922736427005823
"89",Inf
"90",36589.4723897106
"91",1.89536608064803
"92",Inf
"93",Inf
"94",Inf
"95",Inf
"96",Inf
"97",0.00313203572535988
"98",0.446983241883167
"99",Inf
"100",1.34845416926967
"101",Inf
"102",Inf
"103",Inf
"104",0.455454334255872
"105",0.81864611479805
"106",0.310716751703802
"107",1.54593845190726
"108",Inf
"109",Inf
"110",Inf
"111",1.22755724785579
"112",0.0604070431778055
"113",0.159920389139994
"114",0.108478400864048
"115",Inf
"116",0.755659619498607
"117",0.452555424779779
"118",Inf
"119",Inf
"120",Inf
"121",Inf
"122",0.0132365567386151
"123",Inf
"124",Inf
"125",Inf
"126",Inf
"127",Inf
"128",Inf
"129",Inf
"130",Inf
"131",0.396005672366167
"132",0.503652901965504
"133",Inf
"134",Inf
"135",Inf
"136",1.85210739632373
"137",Inf
"138",Inf
"139",1.2058051330382
"140",0.33878696810192
"141",Inf
"142",Inf
"143",0.00112087740920998
"144",Inf
"145",Inf
"146",0.458463289526856
"147",Inf
"148",Inf
"149",Inf
"150",0.0300891002561526
"151",Inf
"152",0.789318973861121
"153",0.00834012991240173
"154",0.0761921382621404
"155",1.15988506325311
"156",0.374358459038965
"157",1.85801759861313
"158",Inf
"159",1.1432784983069
"160",Inf
"161",0.051538499873395
"162",Inf
"163",0.416384369104308
"164",Inf
"165",Inf
"166",0.0228022919092142
"167",Inf
"168",0.0184285190238817
"169",Inf
"170",0.935049565611585
"171",0.748394012853198
"172",2.44200122773613
"173",Inf
"174",0.000836929856069032
"175",Inf
"176",Inf
"177",0.139662996018291
"178",Inf
"179",Inf
"180",0.421290719544583
"181",Inf
"182",0.186588940879052
"183",Inf
"184",2.0266337690048
"185",0.485817523744385
"186",0.636060039368985
"187",1.74530514979058
"188",0.0266050961528286
"189",2.68504852059399
"190",Inf
"191",0.561638773791615
"192",Inf
"193",0.502561804126542
"194",Inf
"195",Inf
"196",Inf
"197",1.18172316006224
"198",Inf
"199",0.776697150546107
"200",0.475613806660511
"201",Inf
"202",Inf
"203",Inf
"204",Inf
"205",Inf
"206",Inf
"207",Inf
"208",Inf
"209",Inf
"210",1.9664760613484
"211",2.47577833244748
"212",Inf
"213",Inf
"214",0.00105111230675909
"215",Inf
"216",Inf
"217",1.0299513898547
"218",0.0310414022069959
"219",0.0914417470355726
"220",Inf
"221",0.714767461908258
"222",0.0704813232543682
"223",Inf
"224",Inf
"225",Inf
"226",Inf
"227",Inf
"228",Inf
"229",Inf
"230",0.434499528931805
"231",Inf
"232",0.662108766496804
"233",2.0544456481317
"234",Inf
"235",0.449294632596453
"236",0.067546233956348
"237",Inf
"238",0.720303419576045
"239",Inf
"240",Inf
"241",0.0786865670288868
"242",Inf
"243",Inf
"244",0.239214609666427
"245",Inf
"246",0.097625915661223
"247",0.21448705306573
"248",0.411555176330186
"249",7.02927796889263e-05
"250",0.0862634043200123
"251",Inf
"252",Inf
"253",Inf
